Ticker,Name,Link,Industry,Sector,City,State,Country,Employees,Type,Exchange,Implied Val,Lead Inv,Last Raise,Last Raise Date,Total Raise,Rounds,Last Class,52w Low,52w High,52w Chg,52w % Chg,Founded,Timestamp
NURO.PVT,Nuro,https://nuro.ai,"Artificial Intelligence (AI), Autonomous Vehicles, Robotics, Transportation",Transportation,Mountain View,CA,US,501,Private Company,PVT,5571583488.0,Baillie Gifford,203188096.0,1755734400.0,2205763840,5.0,Series E,1.0,12.79,158.82,158.82,2016-01-01,2025-08-27 17:29:20.706655-04:00
SAAQ.PVT,SandboxAQ,https://www.sandboxaq.com,"Artificial Intelligence (AI), Cyber Security, Information Technology, Quantum Computing, SaaS",Privacy and Security,Palo Alto,,US,101,Private Company,PVT,5225077248.0,,450000000.0,1743724800.0,916376192,2.0,Series E,6.46,17.21,140.87,140.87,2016-01-01,2025-08-27 17:29:21.000809-04:00
NETS.PVT,Netskope,https://www.netskope.com,"Cloud Security, Cyber Security, Enterprise Software, Software",Privacy and Security,Santa Clara,CA,US,1001,Private Company,PVT,5215591424.0,Accel Partners,300000000.0,1625788800.0,1049922048,8.0,Series H,10.28,14.35,38.33,38.33,2012-10-08,2025-08-27 17:29:21.282216-04:00
REMA.PVT,Redwood Materials,https://www.redwoodmaterials.com,"Advanced Materials, Battery, Electric Vehicle, Renewable Energy, Sustainability",Energy,Carson City,NV,US,1001,Private Company,PVT,4949583360.0,,1000000000.0,1693267200.0,8293849600,5.0,Series D,44.59,50.54,-10.0,-10.0,2017-01-01,2025-08-27 17:29:21.604335-04:00
PSIQ.PVT,PsiQuantum,https://www.psiquantum.com,"Computer, Hardware, Quantum Computing, Semiconductor, Software",Hardware,Palo Alto,CA,US,251,Private Company,PVT,4929497600.0,Atomico,741099968.0,1747267200.0,1438926080,5.0,Series E,12.54,30.0,134.93,134.93,2016-06-28,2025-08-27 17:29:21.898932-04:00
CESY.PVT,Cerebras Systems,https://cerebras.ai,"Artificial Intelligence (AI), Computer, Hardware, Software",Hardware,Sunnyvale,,US,251,Private Company,PVT,4836427776.0,Altimeter Capital,420000000.0,1717632000.0,1144516096,7.0,Series F-1,28.0,45.0,3.93,3.93,2016-01-01,2025-08-27 17:29:22.237058-04:00
COHS.PVT,Cohesity,https://www.cohesity.com/,"Analytics, Artificial Intelligence (AI), Cloud Computing, Cyber Security, Data Center, Data Storage, Information Technology",Data and Analytics,San Jose,,US,1001,Private Company,PVT,4689600000.0,Accel Partners,27499996.0,1733788800.0,1958829952,8.0,Series H-1,15.66,16.0,0.06,0.06,2013-06-01,2025-08-27 17:29:22.535587-04:00
ARWO.PVT,Arctic Wolf,https://arcticwolf.com/,"Cyber Security, Information Technology, Network Security, Software",Privacy and Security,Eden Prairie,MN,US,1001,Private Company,PVT,4209707008.0,Adams Street Partners,75000000.0,1626134400.0,501343392,6.0,Series F,6.63,8.0,20.66,20.66,2012-01-01,2025-08-27 17:29:22.836195-04:00
TANI.PVT,Tanium,http://www.tanium.com,"Analytics, Cyber Security, Enterprise Software, Information Technology, SaaS, Security",Privacy and Security,Kirkland,,US,1001,Private Company,PVT,4130204160.0,Andreessen Horowitz,150000000.0,1593043200.0,470943488,8.0,Series H,4.05,5.4,30.12,30.12,2007-01-01,2025-08-27 17:29:23.128470-04:00
VERC.PVT,Vercel,https://vercel.com/,"Artificial Intelligence (AI), Cloud Infrastructure, Developer Platform, Software, Web Development",Software,Walnut,CA,US,251,Private Company,PVT,3769043200.0,8VC,249999872.0,1715817600.0,1752094208,5.0,Series E,73.27,85.0,16.01,16.01,2015-11-24,2025-08-27 17:29:23.416511-04:00
