CIK,Ticker,Name
,ROFIX,Royce Small-Cap Opportunity Instl
,FEDAX,Fidelity Advisor Emerg Mkts Discv A
,FTXFX,FullerThaler Behavioral Sm-Cp Gr R6
,FEDDX,Fidelity Emerging Markets Discovery
,FIQGX,Fidelity Advisor Emerg Mkts Discv Z
,FEDIX,Fidelity Advisor Emerg Mkts Discv I
,FTXNX,FullerThaler Behavioral Sm-Cp Gr Inv
,FTXCX,FullerThaler Behavioral Sm-Cp Gr C
,ANOAX,American Century Small Cap Growth A
,WFICX,North Star Small Cap Value Institutional
,WSCVX,North Star Small Cap Value Investor
,KGGIX,Kopernik Global All-Cap Fund
,FTXSX,FullerThaler Behavioral Sm-Cp GrInstl
,KGGAX,Kopernik Global All-Cap Fund
,VAABX,Virtus Duff & Phelps Real Asset Fund
,FTXAX,FullerThaler Behavioral Sm-Cp Gr A
,FPHAX,Fidelity Select Pharmaceuticals Port
,ANOHX,American Century Small Cap Growth G
,ANORX,American Century Small Cap Growth R
,ANONX,American Century Small Cap Growth I
,FEDGX,Fidelity Advisor Emerg Mkts Discv C
,ANODX,American Century Small Cap Growth R6
,FEDTX,Fidelity Advisor Emerg Mkts Discv M
,ANOIX,American Century Small Cap Growth Inv
,QSMRX,AQR Small Cap Momentum Style R6
,TORTX,Tortoise Energy Infrastructure TR A
,KGIIX,Kopernik International Fund
,TORIX,Tortoise Energy Infrastructure TR Ins
,WBSIX,William Blair Small Cap Growth I
,WBSRX,William Blair Small Cap Growth R6
,QISCX,Federated Hermes MDT Small Cap Core IS
,QLSCX,Federated Hermes MDT Small Cap Core R6
,QCSCX,Federated Hermes MDT Small Cap Core C
,MATFX,Matthews Asia Innovators Fund
,QASCX,Federated Hermes MDT Small Cap Core A
,FMPFX,Nuveen Small Cap Growth Opp R6
,FCCGX,Fidelity Small Cap Growth Fund
,MITEX,Matthews Asia Innovators Institutional
,ASMNX,AQR Small Cap Momentum Style N
,ASMOX,AQR Small Cap Momentum Style I
,ADKSX,Adirondack Small Cap
,WBSNX,William Blair Small Cap Growth N
,FCAGX,Fidelity Small Cap Growth Fund
,FCPGX,Fidelity Small Cap Growth
,FCIGX,Fidelity Advisor Small Cap Growth I
,FIDGX,Fidelity Advisor Small Cap Growth Z
,FCTGX,Fidelity Advisor Small Cap Growth M
,FIMPX,Nuveen Small Cap Growth Opp I
,FRMPX,Nuveen Small Cap Growth Opp A
,SNOAX,Easterly Snow Long/Short Opportunity A
,VGPMX,Vanguard Global Capital Cycles Investor
,SNOIX,Easterly Snow Long/Short Opportunity I
,LSCNX,Loomis Sayles Small Cap Value N
,SNORX,Easterly Snow Capital Long/Short Opportunity Fund
,SNOCX,Easterly Snow Long/Short Opportunity C
,QSMNX,AQR Small Cap Multi-Style N
,QSMLX,AQR Small Cap Multi-Style I
,BDFFX,Baron Discovery Fund
,QSERX,AQR Small Cap Multi-Style R6
,TSMEX,Nuveen Quant Small/Mid Cap Eq A
,TSMOX,Nuveen Quant Small/Mid Cap Eq Retirement
,FHKAX,Fidelity Advisor China Region A
,ALFOX,Lord Abbett Alpha Strategy F3
,LSCRX,Loomis Sayles Small Cap Value Retail
,FIQFX,Fidelity Advisor China Region Z
,BDFIX,Baron Discovery Fund
,FHKIX,Fidelity Advisor China Region I
,TSMWX,Nuveen Quant Small/Mid Cap Eq R6
,TSMNX,Nuveen Quant Small/Mid Cap Eq I
,TSMUX,Nuveen Quant Small/Mid Cap Eq W
,FHKCX,Fidelity China Region
,TSMMX,Nuveen Quant Small/Mid Cap Eq Premier
,FCHKX,Fidelity Advisor China Region C
,JAKRX,JHancock Disciplined Value Glb L/S A
,JAKVX,JHancock Disciplined Value Glb L/S R6
,WPGTX,WPG Partners Small Cap Value Div Fund
,LSVAX,Loomis Sayles Small Cap Value Admin
,GSXIX,abrdn US Small Cap Equity Inst Svc
,JAKUX,JHancock Disciplined Value Glb L/S I
,LSSCX,Loomis Sayles Small Cap Value Instl
,GNXIX,AlphaCentric Robotics and Automation I
,GSCIX,abrdn US Small Cap Equity Inst
,FHKTX,Fidelity Advisor China Region M
,GIEZX,GuideStone Funds International Eq Inv
,MOWNX,Moerus Worldwide Value N
,GIEYX,GuideStone Funds International Eq Instl
,MICFX,Matthews China Instl
,MCHFX,Matthews China Fund
,MOWIX,Moerus Worldwide Value Institutional
,FTMKX,Fidelity Advisor Focused Em Mkts M
,VGSCX,Virtus Duff & Phelps Glb Rl Estt Secs C
,FSDAX,Fidelity Select Defense & Aerospace
,GSXAX,abrdn US Small Cap Equity A
,FAMKX,Fidelity Advisor Focused Em Mkts A
,FZAEX,Fidelity Advisor Focused Em Mkts Z
,FIMKX,Fidelity Advisor Focused Em Mkts I
,CGOAX,Columbia Small Cap Growth A
,VRGEX,Virtus Duff & Phelps Glb Rl Estt Secs R6
,FMCKX,Fidelity Advisor Focused Em Mkts C
,CSGYX,Columbia Small Cap Growth Inst3
,MMMMX,Victory Integrity Discovery Member
,VGSAX,Virtus Duff & Phelps Glb Rl Estt Secs A
,CCRIX,Columbia Small Cap Growth Fund
,CMSCX,Columbia Small Cap Growth Inst
,CMSHX,Columbia Small Cap Growth S
,CGOCX,Columbia Small Cap Growth C
,TCMSX,Voya Small Cap Growth I
,CSCRX,Columbia Small Cap Growth Inst2
,DHSCX,Diamond Hill Small Cap Fund
,FTHSX,FullerThaler Behavioral Sm-Cp Eq Inst
,JAKTX,JHancock Disciplined Value Glb L/S C
,HFCGX,Hennessy Cornerstone Growth Investor
,FTHFX,FullerThaler Behavioral Sm-Cp Eq R6
,DNDGX,Dunham Small Cap Growth Fund
,AALRX,American Beacon Large Cap Value R6
,DHSIX,Diamond Hill Small Cap Fund
,DHSYX,Diamond Hill Small Cap Fund
,HICGX,Hennessy Cornerstone Growth Inst
,BISAX,Brandes International Small Cap Equity Fund
,NSCCX,Nuveen Small-Cap Value Opportunities Fund
,BISMX,Brandes International Small Cap Equity Fund
,NSCRX,Nuveen Small-Cap Value Opportunities Fund
,BISRX,Brandes International Small Cap Equity Fund
,FTHAX,FullerThaler Behavioral Sm-Cp Eq A
,FTHNX,FullerThaler Behavioral Sm-Cp Eq Inv
,VLNPX,Voya Small Cap Growth R6
,NSCAX,Nuveen Small-Cap Value Opportunities Fund
,VFPIX,Private Capital Management Value Fund
,FTYCX,FullerThaler Behavioral Sm-Cp Eq C
,PHSZX,PGIM Jennison Health Sciences Z
,PHLAX,PGIM Jennison Health Sciences A
,PHLQX,PGIM Jennison Health Sciences R6
,NSCFX,Nuveen Small-Cap Value Opportunities Fund
,BINCX,Brandes International Small Cap Equity Fund
,PJHRX,PGIM Jennison Health Sciences R
,VSTCX,Vanguard Strategic Small-Cap Equity Inv
,ARSTX,Nuveen Small Cap Select I
,ASEFX,Nuveen Small Cap Select R6
,TSCSX,Thrivent Small Cap Stock S
,VCESX,Virtus KAR Emerging Markets Small-Cap Fund
,LKSCX,LKCM Small Cap Equity Instl
,VAESX,Virtus KAR Emerging Markets Small-Cap Fund
,NSMRX,Nuveen Small/Mid Cap Value Fund
,PASSX,T. Rowe Price Small-Cap Stock Adv
,NWQFX,Nuveen Small/Mid Cap Value R6
,AASMX,Thrivent Small Cap Stock A
,OTCFX,T. Rowe Price Small-Cap Stock
,OTIIX,T. Rowe Price Small-Cap Stock I
,GLIFX,Lazard Global Listed Infrastructure Portfolio
,TQSAX,T. Rowe Price Integrated US SMCC Eq Adv
,TQSMX,T. Rowe Price Integrated US SMCC Eq
,TQSIX,T. Rowe Price Integrated US SMCC Eq I
,BIVIX,Invenomic Institutional
,AXVIX,Acclivity Small Cap Value I
,BIVSX,Invenomic Super Institutional
,AXVNX,Acclivity Small Cap Value N
,QLENX,AQR Long-Short Equity N
,QLEIX,AQR Long-Short Equity I
,TRSSX,T. Rowe Price Instl Small-Cap Stock
,AATIX,Ancora/Thelen Small-Mid Cap I
,QLERX,AQR Long-Short Equity R6
,NSMCX,Nuveen Small/Mid Cap Value Fund
,NSMAX,Nuveen Small/Mid Cap Value Fund
,WSMRX,William Blair Small-Mid Cap Growth R6
,AATSX,Ancora/Thelen Small-Mid Cap S
,OSCNX,Invesco Main Street Small Cap R
,FCDAX,Fidelity Stock Selector Small Cap Fund
,IFPUX,Independent Franchise Partners US Equity
,OSCAX,Invesco Main Street Small Cap A
,MNSQX,Invesco Main Street Small Cap R5
,FSSZX,Fidelity Advisor Stock Selector Sm Cp Z
,FCDIX,Fidelity Stock Selector Small Cap Fund
,OSCYX,Invesco Main Street Small Cap Y
,OSSIX,Invesco Main Street Small Cap R6
,PCAFX,Prospector Capital Appreciation
,HNINX,Harbor International Retirement
,FCDCX,Fidelity Stock Selector Small Cap Fund
,WWSIX,Keeley Small Cap Fund Institutional
,GPMCX,Grandeur Peak Global Micro Cap Instl
,RMLPX,Recurrent MLP & Infrastructure Class I
,SFVLX,Seafarer Overseas Value Investor
,SIVLX,Financial Investors Trust - Seafarer Overseas Value Fund
,WHGMX,Westwood Quality SMidCap Fund Inst
,YFSNX,AMG Yacktman Global N
,YFSIX,AMG Yacktman Global I
,VIESX,Virtus KAR Emerging Markets Small-Cap I
,VRESX,Virtus KAR Emerging Markets Small-Cap R6
,HULEX,Huber Select Large Cap Value Instl
,HULIX,Huber Select Large Cap Value Inv
,FCDTX,Fidelity Stock Selector Small Cap Fund
,TNVRX,1290 GAMCO Small/Mid Cap Value R
,GLFOX,Lazard Global Listed Infrastructure Portfolio
,TNVIX,1290 GAMCO Small/Mid Cap Value I
,FBPEX,Cantor Fitzgerald Equity Div Plus Inst
,FDSCX,Fidelity Stock Selector Small Cap
,FEAAX,Fidelity Advisor Emerging Asia A
,WGMCX,Wasatch Ultra Growth Institutional
,FERIX,Fidelity Advisor Emerging Asia I
,YAFIX,AMG Yacktman Focused I
,FIQPX,Fidelity Advisor Emerging Asia Z
,PGOAX,PGIM Jennison Small Company Fund
,JASCX,James Small Cap Fund
,VEXPX,Vanguard Explorer Fund
,CPCEX,Counterpoint Tactical Equity C
,SPYGX,Spyglass Growth Institutional
,WWSAX,Keeley Small Cap Fund A
,VEXRX,Vanguard Explorer Fund
,FEATX,Fidelity Advisor Emerging Asia M
,CPAEX,Counterpoint Tactical Equity A
,WESCX,Keeley Small Cap Fund AAA
,PSCHX,PGIM Jennison Small Company R2
,CPIEX,Counterpoint Tactical Equity I
,PSCJX,PGIM Jennison Small Company R4
,PJSQX,PGIM Jennison Small Company R6
,FSEAX,Fidelity Emerging Asia
,FERCX,Fidelity Advisor Emerging Asia C
,PSCZX,PGIM Jennison Small Company Z
,FAMDX,FAM Small Cap Institutional
,AEMVX,Acadian Emerging Markets Y
,AEMZX,Acadian Emerging Markets I
,AEMGX,Acadian Emerging Markets Investor
,GEMEX,GMO Emerging Markets I
,GEMNX,GMO Emerging Markets R6
,THOCX,Thornburg Global Opportunities C
,FIVFX,Fidelity International Capital Apprec
,THORX,Thornburg Global Opportunities R3
,THOVX,Thornburg Global Opportunities R4
,THOAX,Thornburg Global Opportunities A
,THOFX,Thornburg Global Opportunities R5
,LACFX,Lord Abbett Convertible A
,LCFSX,Lord Abbett Convertible R4
,LBFFX,Lord Abbett Convertible F
,LCFTX,Lord Abbett Convertible R5
,LCFYX,Lord Abbett Convertible I
,LAVPX,Lord Abbett Fundamental Equity P
,RPMAX,Reinhart Genesis PMV Investor
,LCFVX,Lord Abbett Convertible R6
,RPMFX,Reinhart Genesis PMV Advisor
,BRUSX,Bridgeway Ultra-Small Company
,PAIJX,T. Rowe Price Em Mkts Discv Stk Adv
,LAVSX,Lord Abbett Fundamental Equity R4
,REVIX,T. Rowe Price Em Mkts Discv Stk I
,SFVRX,Seafarer Overseas Value Retail
,PRIJX,T. Rowe Price Em Mkts Discv Stk
,LAVTX,Lord Abbett Fundamental Equity R5
,LAVVX,Lord Abbett Fundamental Equity R6
,WWSCX,Keeley Small Cap Fund C
,TNVAX,1290 GAMCO Small/Mid Cap Value A
,SDFSX,Sit Small Cap Dividend Growth S
,SSCDX,Sit Small Cap Dividend Growth I
,SMXAX,SEI Extended Market Index A (SIIT)
,MWFEX,Metropolitan West Funds - Flexible Income Fund
,VSEQX,Vanguard Strategic Equity Inv
,HMEZX,NexPoint Merger Arbitrage Z
,YAFFX,AMG Yacktman Focused N
,MGBIX,AMG GW&K ESG Bond I
,THOIX,Thornburg Global Opportunities I
,THOGX,Thornburg Global Opportunities R6
,HFSAX,Hundredfold Select Alternative Inv
,VTAPX,Vanguard Shrt-Term Infl-Prot Sec Idx Adm
,VTSPX,Vanguard Shrt-Term Infl-Prot Sec Idx Ins
,FAMFX,FAM Small Cap Investor
,LMVYX,Lord Abbett Focused Small Cap Value I
,POPFX,Prospector Opportunity
,CFRZX,Columbia Floating Rate Inst
,CFRYX,Columbia Floating Rate Inst3
,RFRFX,Columbia Floating Rate Inst2
,FCCVX,Fidelity Convertible Securities Fund
,FACVX,Fidelity Advisor Convertible Secs A
,FTCVX,Fidelity Advisor Convertible Secs M
,FIQVX,Fidelity Advisor Convertible Secs Z
,FICVX,Fidelity Advisor Convertible Secs I
,FCVSX,Fidelity Convertible Securities
,PRHSX,T. Rowe Price Health Sciences
,CMNIX,Calamos Market Neutral Income I
,FFARX,Franklin Global Allocation R
,JCONX,Janus Henderson Contrarian Fund
,LIVAX,BlackRock LifePath Index 2055 Inv A
,LIVIX,BlackRock LifePath Index 2055 Instl
,LIVKX,BlackRock LifePath Index 2055 K
,LIVPX,BlackRock LifePath Index 2055 Inv P
,LPHAX,BlackRock LifePath Dyn 2045 Investor A
,LPHIX,BlackRock LifePath Dyn 2045 Instl
,LPHKX,BlackRock LifePath Dyn 2045 K
,LPJKX,BlackRock LifePath Dyn 2035 K
,LPRFX,BlackRock LifePath Dyn 2050 Investor A
,LPRPX,BlackRock LifePath Dyn 2050 R
,LPSFX,BlackRock LifePath Dyn 2040 K
,LPVAX,BlackRock LifePath Dyn 2055 Investor A
,LPVIX,BlackRock LifePath Dyn 2055 Instl
,LPVKX,BlackRock LifePath Dyn 2055 K
,LPVRX,BlackRock LifePath Dyn 2055 R
,STLEX,BlackRock LifePath Dynamic 2040 Fund
,STLFX,BlackRock LifePath Dynamic 2050 Fund
,VWSTX,Vanguard Ultra Short-Term Tx-Ex
,VWSUX,Vanguard Ultra Short-Term Tx-Ex Adm
,TRZKX,T. Rowe Price International Discovery Z
,PRIDX,T. Rowe Price International Discovery
,LGLUX,Lord Abbett Growth Leaders Fund
,LGLIX,Lord Abbett Growth Leaders Fund
,LGLSX,Lord Abbett Growth Leaders Fund
,LGLAX,Lord Abbett Growth Leaders Fund
,DODGX,Dodge & Cox Stock Fund
,DXQLX,Direxion Monthly NASDAQ-100 Bull 1.75X Fund
,HWAAX,Hotchkis & Wiley Value Opps A
,EAEAX,Eaton Vance Tax-Managed Equity Asset Allocation Fund
,ARTIX,Artisan International Investor
,APDIX,Artisan International Fund
,ECEAX,Eaton Vance Tax-Managed Equity Asset Allocation Fund
,TIBIX,Thornburg Investment Income Builder I
,TIBMX,Thornburg Investment Income Builder R5
,TIBOX,Thornburg Investment Income Builder R6
,TIBGX,Thornburg Investment Income Builder R4
,TIBAX,Thornburg Investment Income Builder A
,TIBRX,Thornburg Investment Income Builder R3
,TIBCX,Thornburg Investment Income Builder C
,JACNX,Janus Henderson Contrarian D
,JSVAX,Janus Henderson Contrarian T
,JCNNX,Janus Henderson Contrarian Fund
,JCNAX,Janus Henderson Contrarian Fund
,JCNIX,Janus Henderson Contrarian Fund
,WBVRX,William Blair Small Cap Value R6
,LGLVX,Lord Abbett Growth Leaders Fund
,LGLFX,Lord Abbett Growth Leaders Fund
,JCNRX,Janus Henderson Contrarian Fund
,PFSLX,Paradigm Select Fund
,DGIFX,Disciplined Growth Investors
,HWSZX,Hotchkis & Wiley Small Cap Value Z
,HWSIX,Hotchkis & Wiley Small Cap Value I
,HWSAX,Hotchkis & Wiley Small Cap Value A
,GMOLX,GMO Opportunistic Income Fund
,AMFIX,AAMA Income
,GIFSX,Guggenheim Floating Rate Strats R6
,TEDMX,Templeton Developing Markets A
,TVFVX,Third Avenue Value Investor
,TAVZX,Third Avenue Value Z
,LCRIX,Leuthold Core Investment Institutional
,LCORX,Leuthold Core Investment Retail
,TDMRX,Templeton Developing Markets R
,EVDIX,Camelot Event Driven Institutional
,DNINX,Dunham International Stock Fund
,FTGMX,Franklin Growth Allocation R6
,EVDAX,Camelot Event Driven A
,DAINX,Dunham International Stock A
,CSSCX,Columbia Small Cap Value I C
,SEMTX,Hartford Schroders Emerging Mkts Eq SDR
,DCINX,Dunham International Stock C
,DODBX,Dodge & Cox Balanced Fund
,NFRFX,Nuveen Floating Rate Income R6
,CPLIX,Calamos Phineus Long/Short I
,NFRIX,Nuveen Floating Rate Income I
,NFRAX,Nuveen Floating Rate Income A
,CPLSX,Calamos Phineus Long/Short A
,APHIX,Artisan International Fund
,FFAQX,Franklin Global Allocation R6
,TAVFX,Third Avenue Value Instl
,DSCPX,Davenport Small Cap Focus Fund
,FFAAX,Franklin Global Allocation Adv
,FFALX,Franklin Global Allocation A
,LDFOX,Lord Abbett Fundamental Equity Fund
,MIFIX,Miller Intermediate Bond I
,HJIRX,Hardman Johnston Intl Gr Fd Retl Shr
,LAVYX,Lord Abbett Fundamental Equity I
,LSVGX,LSV Global Value Institutional
,LDFVX,Lord Abbett Fundamental Equity Fund
,STEZX,AB International Strat Eqs Z
,VTRRX,Voya Target Retirement 2055 R6
,PAFGX,T. Rowe Price Global Allocation Advisor
,LAVFX,Lord Abbett Fundamental Equity F
,DODWX,Dodge & Cox Global Stock Fund
,VRRKX,Voya Target Retirement 2040 R
,CVSCX,Calamos Market Neutral Income C
,CVSIX,Calamos Market Neutral Income A
,HJIGX,Hardman Johnston Intl Gr Fd Instl Shr
,FHCIX,Fidelity Advisor Health Care I
,CVSOX,Calamos Market Neutral Income R6
,VTRUX,Voya Target Retirement 2060 R6
,SAUMX,SA US Small Company
,VFMFX,Vanguard US Multifactor Admiral
,WBVNX,William Blair Small Cap Value N
,JMGRX,Janus Henderson Enterprise I
,JANEX,Janus Henderson Enterprise Fund
,NYVTX,Davis NY Venture A
,JAENX,Janus Henderson Enterprise T
,SSHFX,Sound Shore Investor
,FSPHX,Fidelity Select Health Care
,JGRCX,Janus Henderson Enterprise Fund
,CSCZX,Columbia Small Cap Value I Inst
,NRGEX,Neuberger Berman Genesis Fund
,APHYX,Artisan Developing World Fund
,JDMAX,Janus Henderson Enterprise Fund
,APDYX,Artisan Developing World Fund
,JDMNX,Janus Henderson Enterprise Fund
,JGRTX,Janus Henderson Enterprise Fund
,GIOIX,Guggenheim Macro Opportunities Instl
,GIOPX,Guggenheim Macro Opportunities P
,ARTYX,Artisan Developing World Investor
,GIOAX,Guggenheim Macro Opportunities A
,GILHX,Guggenheim Limited Duration Instl
,GIKRX,Guggenheim Limited Duration R6
,GILPX,Guggenheim Limited Duration P
,GMODX,GMO Opportunistic Income Fund
,GAAAX,GMO Opportunistic Income R6
,FEVIX,First Eagle US I
,FEVRX,First Eagle US R6
,OEGIX,Invesco Discovery Mid Cap Growth R6
,JDMRX,Janus Henderson Enterprise Fund
,TDADX,Templeton Developing Markets Adv
,FDEVX,Templeton Developing Markets R6
,FEVAX,First Eagle US A
,OEGYX,Invesco Discovery Mid Cap Growth Y
,BGEDX,Baillie Gifford Emerging Markets Equities Fund
,LZOEX,Lazard Emerging Markets Equity Portfolio
,TDMTX,Templeton Developing Markets C
,BGEHX,Baillie Gifford Emerging Markets Equities Fund
,RLEMX,Lazard Emerging Markets Equity R6
,LZEMX,Lazard Emerging Markets Equity Portfolio
,CCWIX,Baird Chautauqua International Gr Instl
,CSMIX,Columbia Small Cap Value I A
,CUURX,Columbia Small Cap Value I Inst2
,CCWSX,Baird Chautauqua International Gr Inv
,FEVCX,First Eagle US C
,CSVRX,Columbia Small Cap Value I R
,SSHQX,State Street Hedged Intl Dev Eq Idx K
,KMDIX,Keeley Gabelli Mid Cap Dividend I
,CSVYX,Columbia Small Cap Value I Inst3
,PPIPX,T. Rowe Price Spectrum Cnsrv Allc I
,CSCQX,Columbia Small Cap Value I S
,VIHAX,Vanguard Intl Hi Div Yld Adm
,SSHVX,Sound Shore Institutional
,JBALX,Janus Henderson Balanced Fund
,JANBX,Janus Henderson Balanced Fund
,JABAX,Janus Henderson Balanced T
,JDBAX,Janus Henderson Balanced Fund
,FALIX,Fidelity Advisor Large Cap I
,FIDLX,Fidelity Advisor Large Cap Z
,JDBRX,Janus Henderson Balanced Fund
,TGVNX,TCW Relative Value Mid Cap N
,DMCFX,Invesco Discovery Mid Cap Growth Fund
,PLBBX,Plumb Balanced Investor
,GDLFX,FundVantage Trust - Gotham Defensive Long 500 Fund
,VASVX,Vanguard Selected Value Fund
,HGASX,Hennessy Gas Utility Institutional
,NWQAX,Nuveen Flexible Income A
,FZALX,Fidelity Advisor Mega Cap Stock Z
,DNVYX,Davis New York Venture Fund
,FLCCX,Fidelity Advisor Large Cap C
,VEVRX,Victory Sycamore Established Value Fund
,VEVIX,Victory Sycamore Established Value Fund
,VEVYX,Victory Sycamore Established Value Fund
,FGRCX,Fidelity Advisor Mega Cap Stock C
,FALAX,Fidelity Advisor Large Cap A
,FALGX,Fidelity Advisor Large Cap M
,ARINX,Archer Income
,NCSRX,Nuveen High Yield Income R6
,NCOIX,Nuveen High Yield Income I
,JOPPX,Johnson Opportunity
,FLCSX,Fidelity Large Cap Stock
,FGIKX,Fidelity Growth & Income K
,GOODX,GoodHaven
,QICLX,AQR International Multi-Style I
,QICRX,AQR International Multi-Style R6
,VTRPX,Voya Target Retirement 2050 R6
,VTROX,Voya Target Retirement 2050 A
,GIOSX,Guggenheim Macro Opportunities R6
,JABNX,Janus Henderson Balanced N
,JABRX,Janus Henderson Balanced S
,GILDX,Guggenheim Limited Duration A
,STEYX,AB International Strat Eqs Adv
,VTRJX,Voya Target Retirement 2040 A
,TRRAX,T. Rowe Price Retirement 2010
,JABCX,Janus Henderson Balanced C
,STESX,Bernstein International Strat Eqs SCB
,RPGAX,T. Rowe Price Global Allocation
,TGAFX,T. Rowe Price Global Allocation I
,VTRQX,Voya Target Retirement 2055 A
,MAIPX,MAI Managed Volatility Fund
,NPSFX,Nuveen Preferred Secs & Inc R6
,RRTAX,T. Rowe Price Retirement 2010 R
,NPSRX,Nuveen Preferred Secs & Inc I
,NPSAX,Nuveen Preferred Secs & Inc A
,CDSIX,Calvert Short Duration Income Fund
,CDSRX,Calvert Short Duration Income R6
,CSDAX,Calvert Short Duration Income A
,FGRIX,Fidelity Growth & Income
,FTSAX,FullerThaler Behvrl S-M Cor Eq A
,HWCIX,Hotchkis & Wiley Disciplined Value I
,TGVOX,TCW Relative Value Mid Cap I
,VTRSX,Voya Target Retirement 2060 A
,HWLIX,Hotchkis & Wiley Large Cap Fdml Value I
,UPDDX,Upright Growth & Income
,COAGX,Gator Capital L/S Fd
,FTRIX,Fidelity Advisor Mega Cap Stock I
,FGRTX,Fidelity Mega Cap Stock
,OLVRX,JPMorgan Large Cap Value R4
,FTGRX,Fidelity Advisor Mega Cap Stock M
,FGTAX,Fidelity Advisor Mega Cap Stock A
,OLVAX,JPMorgan Large Cap Value A
,OFVIX,O'Shaughnessy Market Leaders Value I
,JLVRX,JPMorgan Large Cap Value R5
,SVFCX,Smead Value C
,JLVZX,JPMorgan Large Cap Value R2
,PRSIX,T. Rowe Price Spectrum Cnsrv Allc
,HLQVX,JPMorgan Large Cap Value I
,PORYX,North Square Multi Strategy I
,TRGGX,Goldman Sachs Tax-Advntgd Gbl Eq R6
,GVMCX,Government Street Opportunities
,FPEIX,First Trust Preferred Sec & Inc I
,BSFIX,Baron Small Cap Instl
,SVFYX,Smead Value Y
,EITMX,Eaton Vance Tax Managed Growth 1.1 Fund
,AIAFX,abrdn Global Infrastructure A
,PTAOX,Performance Trust Total Return Bd A
,RRTBX,T. Rowe Price Retirement 2020 R
,EITGX,Eaton Vance Tax Managed Growth 1.2 Fund
,NWQIX,Nuveen Flexible Income I
,ETTGX,Eaton Vance Tx-Mgd Growth 1.1 A
,CCAZX,Columbia Strat CA Muncpl Inc Inst
,TRPBX,T. Rowe Price Spectrum Moderate Allc Inv
,HWLZX,Hotchkis & Wiley Large Cap Fdml Value Z
,HWLAX,Hotchkis & Wiley Large Cap Fdml Value A
,FPCSX,FPA Crescent Supra Institutional
,CMNZX,Columbia Minnesota Tax-Exempt Inst
,FPACX,FPA Crescent
