EPS Gr %,EPS Qtr Gr %,Rev Gr %
0.141,0.116,0.027
0.04,0.017,0.005
0.359,0.361,0.117
,,-0.134
,,
-0.198,-0.197,0.096
0.035,0.035,0.048
0.154,0.167,0.046
2.122,2.108,0.424
0.136,0.161,0.134
-0.021,-0.025,0.233
1.158,1.108,0.196
0.15,0.14,0.081
0.144,0.134,0.002
0.255,0.237,0.085
1.927,1.86,0.233
1.435,1.278,0.196
5.867,5.372,0.058
-0.029,-0.053,-0.002
1.927,1.86,0.233
0.161,0.165,0.061
1.312,1.292,0.011
0.77,0.77,0.183
,,
0.14,0.136,0.035
1.435,1.278,0.196
-0.286,-0.302,0.06
-0.475,-0.5,-0.044
-0.475,-0.5,-0.044
,,0.53
0.137,0.104,0.056
1.441,1.348,-0.002
-0.03,-0.065,0.047
-0.061,-0.049,0.295
,,
0.195,0.163,0.023
0.465,0.44,0.198
-0.338,-0.308,0.016
-0.139,-0.133,0.068
,,-0.019
-0.322,-0.321,0.101
64.0,81.394,1.115
0.026,0.011,0.045
-0.082,-0.114,0.063
-0.012,0.002,-0.015
,,
-0.322,-0.321,0.101
-0.24,-0.251,-0.013
0.009,-0.025,0.075
-0.133,-0.101,0.082
0.274,0.253,0.152
,,-0.119
-0.218,-0.267,0.053
-0.142,-0.166,-0.061
-0.25,-0.265,0.017
2.158,2.521,0.184
0.333,0.345,0.092
-0.669,-0.669,0.027
8.214,7.911,0.465
0.351,0.334,-0.036
-0.461,-0.46,-0.159
0.167,0.402,1.799
0.148,0.15,0.143
0.342,0.344,0.036
,,0.046
0.351,0.334,-0.036
0.113,0.086,0.056
,,
0.163,0.158,0.062
4.0,4.586,0.263
0.113,0.086,0.056
0.105,0.109,0.008
0.168,0.167,0.074
0.137,0.093,0.055
-0.115,-0.115,0.001
,,1.497
-0.541,-0.549,-0.049
-0.29,-0.289,0.189
-0.393,-0.412,-0.055
-0.347,-0.325,0.159
1.954,1.887,0.085
0.053,0.121,0.301
-0.679,-0.487,0.279
-0.115,-0.115,0.001
,,0.01
,,
0.043,0.003,-0.004
,,0.059
0.479,0.474,0.209
0.255,0.237,0.085
,,-0.127
0.042,0.043,0.111
,,
0.086,0.045,0.044
0.291,0.29,0.267
,,0.012
0.002,-0.069,-0.024
0.331,0.314,0.006
0.479,0.474,0.209
0.085,0.093,0.121
,,0.189
2.212,2.171,0.028
0.074,0.074,0.042
10.052,4.589,0.439
0.524,0.529,0.304
-0.15,-0.131,0.003
1.214,1.644,0.77
,,0.416
-0.505,-0.509,0.111
,,
0.087,0.079,0.108
0.044,0.066,0.322
-0.148,-0.149,-0.155
-0.095,-0.095,-0.007
0.28,0.22,0.174
0.107,0.097,0.011
-0.034,-0.037,0.077
0.056,0.058,0.044
2.553,2.487,0.377
0.099,0.094,0.064
2.553,2.487,0.377
0.075,0.126,0.196
,,0.116
0.002,-0.069,-0.024
-0.137,-0.13,0.125
-0.471,-0.473,-0.033
,,1.026
2.75,2.558,-0.02
0.613,0.504,0.238
-0.048,-0.03,0.296
-0.059,-0.088,0.039
1.495,1.513,0.04
,,
0.072,0.073,0.023
-0.469,-0.468,-0.028
0.678,0.675,0.205
2.75,2.558,-0.02
1.495,1.513,0.04
-0.597,-0.6,0.415
,,0.259
,,
1.618,1.751,0.185
,,-0.062
-0.469,-0.468,-0.028
-0.007,-0.055,0.057
,,-0.062
11.212,11.143,0.034
13.786,11.867,0.126
0.134,0.158,0.054
0.059,0.06,0.187
0.175,0.165,0.102
0.099,0.043,0.059
11.212,11.143,0.034
-0.114,-0.145,0.064
1.053,1.049,0.242
-0.901,-0.849,0.429
0.08,0.084,0.047
-0.328,-0.343,0.075
-0.97,-0.969,0.027
-0.115,-0.148,-0.009
1.298,1.248,0.063
14.32,14.917,0.351
1.111,1.124,0.793
4.878,4.956,0.03
1.298,1.248,0.063
14.32,14.917,0.351
14.32,14.917,0.351
-0.311,-0.331,0.033
1.668,1.455,0.243
5.5,4.714,0.248
-0.157,-0.132,0.02
0.36,0.359,0.186
0.079,0.079,0.053
-0.109,-0.187,-0.045
-0.109,-0.187,-0.045
-0.209,-0.248,-0.043
0.36,0.359,0.186
0.229,0.249,0.102
0.746,0.723,0.201
0.371,0.38,0.165
0.221,0.22,0.087
-0.006,-0.01,0.052
0.133,0.131,0.081
0.008,0.052,0.12
-0.509,-0.53,-0.268
-0.07,-0.112,0.042
,,
0.006,-0.014,0.106
,,0.359
,,0.194
0.057,0.062,0.013
1.192,1.196,0.277
0.638,0.639,0.227
0.107,0.097,0.011
-0.186,-0.188,-0.016
13.786,11.867,0.126
1.529,1.516,0.417
0.024,-0.021,0.073
-0.186,-0.188,-0.016
0.384,0.387,0.058
4.726,3.361,0.169
1.365,1.365,0.347
0.167,0.144,0.113
0.036,-0.026,0.045
0.132,0.087,0.075
,,
0.066,0.066,0.109
,,-0.144
,,-0.144
0.27,0.214,0.029
-0.212,-0.216,-0.003
0.291,0.274,0.132
-0.877,-0.881,0.329
0.291,0.274,0.132
0.169,0.159,0.095
0.066,0.066,0.109
,0.228,0.156
0.061,0.045,-0.006
1.846,1.475,0.369
,,
,,1.674
,,0.018
,,4.465
0.137,0.123,0.022
,,0.237
,,0.018
1.175,1.157,0.549
0.131,0.129,0.129
0.486,0.467,0.019
0.486,0.467,0.019
,,0.322
0.109,0.12,0.017
0.187,0.177,0.029
