Op CF,FCF,Op CF M,FCF M
121527001088.0,26440624128.0,0.38958704847854825,0.08476243650988403
121527001088.0,26440624128.0,0.38958704847854825,0.08476243650988403
13320999936.0,14429875200.0,0.3451841034742286,0.37391814113713434
-17670000640.0,,-0.26931049648360916,
9036999680.0,5919750144.0,0.20963139609857157,0.13732051910855442
7551000064.0,,0.1343403110155935,
7551000064.0,,0.1343403110155935,
9912000512.0,3551624960.0,0.29815011602971986,0.10683185423932
9793999872.0,5429000192.0,0.37582502535048423,0.2083269513428664
13281999872.0,13859999744.0,0.20740161701172885,0.21642722379087734
,,,
-22851999744.0,,-0.41705296999627955,
18534000640.0,15555000320.0,0.2913418108651911,0.2445139637826962
434711003136.0,79753248768.0,0.15103110512881066,0.02770857238981741
13093999616.0,,0.2064160043019137,
49066999808.0,22522374144.0,0.18038608539067694,0.08279949704359064
49066999808.0,22522374144.0,0.18038608539067694,0.08279949704359064
40943001600.0,12400000000.0,0.3302280986703065,0.10001290241289491
5847000064.0,2800750080.0,0.06994102914309479,0.033502196138817254
19145000960.0,7444250112.0,0.202517596097095,0.07874596823356701
12188000256.0,7594375168.0,0.13284213595944966,0.08277428597015976
3380976128.0,,0.2503362030800804,
-9143000064.0,,-0.11779483620539166,
8789000192.0,5608500224.0,0.18569225523607105,0.1184952818677296
11372999680.0,4527875072.0,0.18012638182992377,0.07171280902535519
6242999808.0,5197749760.0,0.34332380025196796,0.2858419438160512
,,,
-9143000064.0,,-0.11779483620539166,
-37771001856.0,,-0.6496225308677633,
37099999232.0,17947250688.0,0.2708029110660345,0.13100182837066562
9578000384.0,7627125248.0,0.3827372868913757,0.3047802367054312
7577999872.0,5182750208.0,0.17536794518950824,0.11993775003424234
6439000064.0,-1568999936.0,0.3861469229644968,-0.09409294787947567
4698999808.0,3972624896.0,0.3897320919750231,0.3294870131116504
110968455168.0,41735413760.0,0.2966024301775452,0.11155264914646701
40918999040.0,14447125504.0,0.33942465865872834,0.1198394574119819
40918999040.0,14447125504.0,0.33942465865872834,0.1198394574119819
1832999936.0,907124992.0,0.18304373003499128,0.09058567809117568
62662270976.0,117058265088.0,0.07708584383912909,0.1440026829878063
2525288988672.0,-1975330406400.0,0.194054200377794,-0.15179298853137435
,,,
116379058176.0,103603159040.0,0.2889996373271638,0.2572737385726932
4235000064.0,5920249856.0,0.19631021310573854,0.2744286879119579
,,,
17806999552.0,,0.8234070137325668,
-87165001728.0,,-1.196910359108238,
-6184000000.0,-6363874816.0,-0.08209540123695105,-0.08448332089929626
5583000064.0,4926624768.0,0.37979591610695546,0.33514453620428564
2826099968.0,1824712448.0,0.3090322567280552,0.19953116028102727
6169999872.0,-3726249984.0,0.08812397088110538,-0.053220737746837894
12663000064.0,5465999872.0,0.2927387493986009,0.12636104861842262
4047235072.0,3328752384.0,0.5090256150497473,0.4186611846038857
2525288988672.0,-1975330406400.0,0.194054200377794,-0.15179298853137435
3576000000.0,3577999872.0,0.09766489126722509,0.09771951019379903
12012999680.0,10421999616.0,0.34404444729630207,0.2984792469093775
,,,
10949683200.0,9149394944.0,0.15989015494544082,0.13360187217591765
12208000000.0,-13566249984.0,0.47136955444237055,-0.5238136640245655
4284999936.0,2937874944.0,0.23169677428356816,0.15885557944925918
8441999872.0,5469374976.0,0.1412390631534808,0.09150549743639365
5935000064.0,3100000000.0,0.10246007664063093,0.053517478375878225
8441999872.0,5469374976.0,0.1412390631534808,0.09150549743639365
9614999552.0,8323500032.0,0.42542361592820355,0.3682801503672871
4766000128.0,3489499904.0,0.20010076627598058,0.14650683717110483
15187999744.0,16017999872.0,0.23793334594865104,0.2509360264149096
6168999936.0,3883249920.0,0.2569025009428493,0.161714479913089
16800000000.0,13717175296.0,0.20394289725671025,0.16651907571692928
387566010368.0,13040874496.0,1.2630100141020528,0.04249793490780273
9868000256.0,8835000320.0,0.34189100436790293,0.3061012418558599
9820000256.0,6875749888.0,0.11744725907684904,0.08223400788102299
,,,
