Quick R,Curr R,Cash,Debt,Net Debt,D/E,D/EBITDA
1.622,2.501,7014000128.0,6262000128.0,-752000000.0,32.106,0.6916280140790385
0.777,1.14,1627217985536.0,1412153999360.0,-215063986176.0,23.614,0.9969381794284781
1.573,1.625,40075898880.0,54443347968.0,14367449088.0,76.715,
0.777,1.14,1627217985536.0,1412153999360.0,-215063986176.0,23.614,0.9969381794284781
,,641514012672.0,495059009536.0,-146455003136.0,,
0.53,0.867,4893000192.0,35325001728.0,30432001536.0,74.878,2.879912002455062
,,548869013504.0,579418980352.0,30549966848.0,,
,,382125998080.0,381009985536.0,-1116012544.0,,
1.487,2.21,6390659072.0,4756554752.0,-1634104320.0,48.233,0.7565404089244306
0.811,1.274,15358999552.0,22285000704.0,6926001152.0,31.709,1.8444794686387496
0.715,0.913,9687000064.0,101528002560.0,91841002496.0,104.176,2.656479699353036
0.506,0.843,1642599936.0,12695600128.0,11053000192.0,50.337,1.6736668459842206
0.276,1.048,7808200192.0,9205600256.0,1397400064.0,148.765,1.52784970796575
0.811,1.274,15358999552.0,22285000704.0,6926001152.0,31.709,1.8444794686387496
1.686,2.324,3469286912.0,8688603136.0,5219316224.0,25.49,1.869799069019017
0.824,0.942,2903200000.0,338200000.0,-2565000000.0,4.322,0.21283381404155619
0.438,0.643,7372000256.0,75836997632.0,68464997376.0,82.96,4.157046335676434
0.438,0.643,7372000256.0,75836997632.0,68464997376.0,82.96,4.157046335676434
0.913,1.375,5112000000.0,9838000128.0,4726000128.0,67.384,1.4644239268463437
0.913,1.375,5112000000.0,9838000128.0,4726000128.0,67.384,1.4644239268463437
,,1968211755008.0,2151489732608.0,183277977600.0,,
0.499,1.198,3983000064.0,9009999872.0,5026999808.0,157.71,2.4718792949794994
1.028,1.526,9333999616.0,23640000512.0,14306000896.0,38.149,1.298330432337434
1.005,1.269,5340000256.0,23529000960.0,18189000704.0,35.883,0.93576998412686
,,8965000192.0,29625999360.0,20660999168.0,61.393,3.1628055041721415
1.68,2.619,4494623232.0,6088282112.0,1593658880.0,129.746,1.125726265405612
0.225,0.388,1287000064.0,24719998976.0,23432998912.0,,1.9661178402256987
1.313,2.211,9150999552.0,11020999680.0,1870000128.0,83.41,2.4616929210084786
2.894,3.221,4409739776.0,17306750976.0,12897011200.0,47.356,4.987749176283001
0.184,0.388,6696999936.0,21572999168.0,14875999232.0,28.978,1.8890541755168242
6.718,7.015,14263911424.0,10742250496.0,-3521660928.0,108.337,7.2982303208318005
,,130062000128.0,143109996544.0,13047996416.0,,
,,130062000128.0,143109996544.0,13047996416.0,,
,,102075643985920.0,58378193731584.0,-43697450254336.0,,
0.793,1.551,9410721792.0,4192153088.0,-5218568704.0,42.847,2.3095150519879297
,,102075643985920.0,58378193731584.0,-43697450254336.0,,
1.107,1.107,110247002112.0,21692999680.0,-88554002432.0,117.145,
1.276,2.073,4999000064.0,3251000064.0,-1748000000.0,36.414,3.8980816115107912
0.456,0.748,1220000000.0,101126995968.0,99906995968.0,147.937,5.9877432856424635
0.8,0.985,1292999936.0,21638000640.0,20345000704.0,405.662,3.007784407144343
0.385,0.741,1264000000.0,70824001536.0,69560001536.0,189.663,5.299611111396322
0.55,1.203,1676999936.0,21610000384.0,19933000448.0,135.265,2.850923437224749
1.652,1.849,4614153216.0,785398016.0,-3828755200.0,22.498,-61.39279418431955
0.674,1.24,21205999616.0,50757001216.0,29551001600.0,47.997,5.516465465125907
0.028,1.006,1003000000.0,19665999872.0,18662999872.0,68.938,3.265150201399699
2.0,2.52,6382799872.0,1527399936.0,-4855399936.0,8.893,0.31811554902282363
0.516,0.756,4505900032.0,27906600960.0,23400700928.0,,5.00441173527091
0.486,0.623,1066268032.0,35297001472.0,34230733440.0,61.593,5.5696017881034985
0.622,0.893,2025143009280.0,13900716179456.0,11875573170176.0,137.94,3.9715910818658045
,,,,,,
1.028,1.526,9333999616.0,23640000512.0,14306000896.0,38.149,1.298330432337434
1.043,1.207,13603000320.0,50988998656.0,37385998336.0,291.549,2.667625700095832
0.019,1.019,2098899968.0,3773400064.0,1674500096.0,13.603,0.8298658947293274
1.028,1.526,9333999616.0,23640000512.0,14306000896.0,38.149,1.298330432337434
0.534,0.614,2076000000.0,45213200384.0,43137200384.0,431.469,6.824118827581463
0.978,1.476,1974000000.0,8311000064.0,6337000064.0,60.212,1.3077891919898543
0.241,0.66,344000000.0,88452997120.0,88108997120.0,170.004,5.753414621020094
1.889,2.898,16768000000.0,13146999808.0,-3621000192.0,59.312,2.5404830232674565
0.842,1.672,13703000064.0,254029004800.0,240326004736.0,157.152,8.217014464517398
1.889,2.898,16768000000.0,13146999808.0,-3621000192.0,59.312,2.5404830232674565
0.543,0.679,50095000.0,8213848064.0,8163753064.0,16.307,1.2303407008292142
1.173,1.25,480000000.0,1250000000.0,770000000.0,11.333,0.4650297619047619
2.509,2.821,3000955904.0,2478145024.0,-522810880.0,49.498,1.3868605431551237
0.721,0.976,1040000000.0,46364000256.0,45324000256.0,,3.1977377220997263
1.089,1.129,19260000256.0,13009999872.0,-6250000384.0,161.174,
0.713,1.104,774200000.0,4615000064.0,3840800064.0,58.751,1.132988019604649
0.635,1.194,467000000.0,9285000192.0,8818000192.0,67.818,1.869337642915722
0.456,0.748,1220000000.0,101126995968.0,99906995968.0,147.937,5.9877432856424635
0.752,0.857,440000000.0,24020000768.0,23580000768.0,261.03,3.423115432104801
1.566,1.753,2289999872.0,7389000192.0,5099000320.0,179.869,2.1828656814485683
0.622,0.893,2025143009280.0,13900716179456.0,11875573170176.0,137.94,3.9715910818658045
0.424,0.784,273900000.0,13579899904.0,13305999904.0,308.571,3.1513738762127206
0.582,0.803,14172999680.0,82724003840.0,68551004160.0,106.67,5.920275009182509
0.41,0.474,211000000.0,7535000064.0,7324000064.0,343.437,2.436146207537458
0.759,1.214,35312001024.0,74981998592.0,39669997568.0,93.986,2.742073408796896
0.105,0.232,735000000.0,19736999936.0,19001999936.0,210.865,3.189044970706635
0.41,0.474,211000000.0,7535000064.0,7324000064.0,343.437,2.436146207537458
0.759,1.214,35312001024.0,74981998592.0,39669997568.0,93.986,2.742073408796896
0.475,0.883,2417999872.0,9944999936.0,7527000064.0,,1.7736757307802307
0.086,0.724,198612992.0,8312948224.0,8114335232.0,,2.200368566068476
1.022,2.089,263972992.0,2654480896.0,2390507904.0,56.665,0.9770583559912877
0.53,0.851,7701000192.0,29625999360.0,21924999168.0,,2.991316575121163
104.476,105.047,167516995584.0,3350240952320.0,3182723956736.0,5169.248,
0.834,1.042,1899000064.0,18086000640.0,16187000576.0,116.903,2.8088213170112497
0.737,1.364,1523000064.0,10618999808.0,9095999744.0,45.034,1.7485591832550285
,,62008000512.0,82776997888.0,20768997376.0,,
,,128786997248.0,234087006208.0,105300008960.0,,
1.4,1.992,1469449984.0,3157902080.0,1688452096.0,89.023,1.356907929111763
,,119702307209216.0,62911825313792.0,-56790481895424.0,,
3.022,3.23,146688868352.0,11276303360.0,-135412564992.0,7.317,0.3081156809962834
0.649,1.136,163773136896.0,96146685952.0,-67626450944.0,39.791,2.086395704000088
1.021,1.72,4214000128.0,13781999616.0,9567999488.0,316.755,2.3782571307377687
3.022,3.23,146688868352.0,11276303360.0,-135412564992.0,7.317,0.3081156809962834
1.422,1.59,983175987200.0,732189032448.0,-250986954752.0,588.392,
0.309,0.641,1504000000.0,21504999424.0,20000999424.0,81.933,3.631374516855106
,,411597012992.0,238352007168.0,-173245005824.0,,
0.23,1.028,1228999936.0,18178000896.0,16949000960.0,224.725,3.422063421686747
0.555,0.867,3619000064.0,17354000384.0,13735000320.0,120.9,1.86782916183653
,,119702307209216.0,62911825313792.0,-56790481895424.0,,
0.642,0.788,5142000128.0,30768001024.0,25626000896.0,76.102,2.697054788218794
1.051,1.442,1402400000.0,7000000000.0,5597600000.0,103.915,1.8801031370863772
,,,,,,
0.784,0.972,2627195904.0,1785117952.0,-842077952.0,528.679,-2.08818206258347
0.636,0.79,727000000.0,2092999936.0,1365999936.0,16.59,1.0140503565891472
0.555,0.867,3619000064.0,17354000384.0,13735000320.0,120.9,1.86782916183653
2.078,3.128,2812000000.0,25076000768.0,22264000768.0,,5.744788010309439
0.448,1.36,14302199808.0,13375099904.0,-927099904.0,58.011,4.081507526767312
1.7,2.135,563002015744.0,479193989120.0,-83808026624.0,438.541,
0.613,1.232,11356000256.0,2281999872.0,-9074000384.0,29.324,0.8598341228113159
0.948,2.125,7539387904.0,4696446976.0,-2842940928.0,38.83,2.3249450224615047
1.45,1.728,3206000128.0,8332000256.0,5126000128.0,419.96,2.5317532950373107
1.561,2.227,6653000192.0,7607000064.0,953999872.0,23.561,0.6954653315909044
1.634,1.708,27878000640.0,34766999552.0,6888998912.0,102.676,
,,11075999744.0,62477000704.0,51401000960.0,,
4.242,5.269,4010299904.0,7448900096.0,3438600192.0,74.093,1.1013869316299976
0.22,1.089,999000000.0,29706000384.0,28707000384.0,115.305,3.143491976391437
1.045,1.585,788000000.0,8936999936.0,8148999936.0,278.325,1.97067250493428
1.561,2.227,6653000192.0,7607000064.0,953999872.0,23.561,0.6954653315909044
1.151,1.544,3660000000.0,21851000832.0,18191000832.0,154.895,5.7898781374922095
1.422,1.59,983175987200.0,732189032448.0,-250986954752.0,588.392,
0.449,0.758,51847000064.0,371437010944.0,319590010880.0,92.447,1.9018110927870786
0.449,0.758,51847000064.0,371437010944.0,319590010880.0,92.447,1.9018110927870786
,,62008000512.0,82776997888.0,20768997376.0,,
1.103,1.745,2876000000.0,17597999104.0,14721999104.0,74.473,2.488404850678733
,,237136003072.0,234719002624.0,-2417000448.0,,
0.596,0.662,122000000.0,13216000000.0,13094000000.0,109.658,2.570206081488452
,,237136003072.0,234719002624.0,-2417000448.0,,
0.591,0.845,2219000064.0,14869000192.0,12650000128.0,74.771,3.038830903033817
1.193,1.324,6286000128.0,28909000704.0,22623000576.0,183.235,2.5064158473364637
,,,,,,
,,62008000512.0,82776997888.0,20768997376.0,,
,,210181996544.0,76559998976.0,-133621997568.0,,
,,12286000128.0,58475999232.0,46189999104.0,,
1.954,2.182,4137999872.0,989000000.0,-3148999872.0,8.894,0.22038998314592897
0.446,0.492,671000000.0,16536000512.0,15865000512.0,,3.7616013532825416
,,701057007616.0,735769001984.0,34711994368.0,,
,,585863004160.0,476675014656.0,-109187989504.0,,
1.007,1.349,6930999808.0,48676999168.0,41745999360.0,128.687,7.164704163244353
1.007,1.349,6930999808.0,48676999168.0,41745999360.0,128.687,7.164704163244353
,,701057007616.0,735769001984.0,34711994368.0,,
0.375,0.536,903000000.0,28572000256.0,27669000256.0,192.989,4.740667192003999
,,426669015040.0,286938005504.0,-139731009536.0,,
0.459,0.581,993948991488.0,5097341845504.0,4103392854016.0,90.162,2.881400748919372
0.904,2.309,545000000.0,3428000000.0,2883000000.0,67.989,1.6192726044560448
0.47,0.885,1412000000.0,8757999616.0,7345999616.0,832.51,1.8155057247097843
1.319,1.445,34792001536.0,30186000384.0,-4606001152.0,68.838,3.1818279550394144
0.816,0.959,2152999936.0,9427999744.0,7274999808.0,85.616,2.809296705601907
0.093,0.844,287617984.0,12596179968.0,12308561984.0,,2.928052283804263
0.889,1.76,1454000000.0,6818999808.0,5364999808.0,137.01,1.7280790748084445
0.816,0.959,2152999936.0,9427999744.0,7274999808.0,85.616,2.809296705601907
0.558,0.959,731000000.0,11644999680.0,10913999680.0,68.319,2.868933110714038
1.004,2.03,1569144064.0,733686016.0,-835458048.0,3.255,0.12017541152461818
0.572,0.96,870000000.0,33179000832.0,32309000832.0,110.711,3.496943595278246
,,294658015232.0,289067008000.0,-5591007232.0,,
,,415270993920.0,1012388986880.0,597117992960.0,,
,,165978996736.0,141451001856.0,-24527994880.0,,
1.7,2.135,563002015744.0,479193989120.0,-83808026624.0,438.541,
0.742,0.933,799000000.0,22268999680.0,21469999680.0,47.233,2.842972023739335
5.001,5.137,3959719936.0,3462113024.0,-497606912.0,279.264,-59.50795001632891
0.604,0.773,393000000.0,19741999104.0,19348999104.0,159.506,2.9749846808926947
,,165978996736.0,141451001856.0,-24527994880.0,,
1.7,2.135,563002015744.0,479193989120.0,-83808026624.0,438.541,
,,14123024384.0,3492114944.0,-10630909440.0,,
1.7,2.135,563002015744.0,479193989120.0,-83808026624.0,438.541,
0.375,0.375,1231437056.0,25920014336.0,24688577280.0,838.545,5.796114058302292
1.025,1.292,2331099904.0,18370400256.0,16039300352.0,103.39,4.204522502476682
1.7,2.135,563002015744.0,479193989120.0,-83808026624.0,438.541,
1.473,1.579,3910683904.0,2687762944.0,-1222920960.0,111.301,-2.0663909267596625
0.726,1.146,15464999936.0,106343997440.0,90878997504.0,113.192,7.210740140632664
0.726,1.146,15464999936.0,106343997440.0,90878997504.0,113.192,7.210740140632664
1.492,1.786,5216000000.0,4595999744.0,-620000256.0,15.719,0.38922762059620597
0.249,1.329,10008000512.0,12172000256.0,2163999744.0,60.254,1.8623011407588739
0.726,1.146,15464999936.0,106343997440.0,90878997504.0,113.192,7.210740140632664
0.287,0.899,483000000.0,18079000576.0,17596000576.0,373.842,2.708870380991221
0.595,1.633,2647000064.0,24611000320.0,21964000256.0,186.758,3.9226969751522494
0.662,0.793,1303000064.0,17901000704.0,16598000640.0,121.059,2.955911608982827
0.595,1.633,2647000064.0,24611000320.0,21964000256.0,186.758,3.9226969751522494
3.567,4.598,7469599744.0,2705100032.0,-4764499712.0,9.035,0.6056013151435102
0.446,0.538,371000000.0,11692999680.0,11321999680.0,,4.53744663189623
0.924,1.466,23798999040.0,34345000960.0,10546001920.0,81.828,0.9132851737995407
2.856,3.519,2072179968.0,65483000.0,-2006696968.0,0.911,0.02868874034125735
0.924,1.466,23798999040.0,34345000960.0,10546001920.0,81.828,0.9132851737995407
0.47,0.851,102000000.0,18460999680.0,18358999680.0,44.702,1.0448834020540045
0.189,0.321,5269000192.0,8033999872.0,2764999680.0,27.217,1.0590561570734496
,,251865006080.0,139480006656.0,-112384999424.0,,
0.241,0.66,344000000.0,88452997120.0,88108997120.0,170.004,5.753414621020094
0.69,1.305,885900032.0,4512000000.0,3626099968.0,33.892,2.5822698349640216
2.633,2.801,2857584896.0,2739734016.0,-117850880.0,1093.309,-22.150541415023405
1.013,1.683,2140999936.0,3628999936.0,1488000000.0,13.875,1.017096394618834
0.515,0.654,2040000000.0,2544000000.0,504000000.0,97.211,1.708529287673522
,,,,,,
,,,,,,
1.949,2.067,7969999872.0,3392999936.0,-4576999936.0,38.042,3.508790006204757
0.874,1.325,21208000512.0,106016997376.0,84808996864.0,115.589,8.187905427255467
0.293,0.552,439300000.0,46672498688.0,46233198688.0,150.71,5.444380903497321
,,251865006080.0,139480006656.0,-112384999424.0,,
,,569980026880.0,486944014336.0,-83036012544.0,,
2.561,2.952,2230799872.0,2051459968.0,-179339904.0,75.079,23.6326978319471
0.873,1.154,242000000.0,61575999488.0,61333999488.0,134.278,4.183720543041431
1.068,2.465,4489999872.0,9251000320.0,4761000448.0,30.841,0.9618424249444615
0.424,0.684,87000000.0,32810999808.0,32723999808.0,102.275,4.881862835952868
1.21,1.328,4562899968.0,1088700032.0,-3474199936.0,52.839,0.5219079731543624
0.823,1.525,672000000.0,6056000000.0,5384000000.0,48.355,1.517794437524389
0.497,0.905,2231852032.0,10147275776.0,7915423744.0,459.175,2.2210525124335985
0.384,0.817,217000000.0,20935000064.0,20718000064.0,97.209,2.374929226088292
0.65,0.746,99638886400.0,768516882432.0,668877996032.0,172.746,2.4611253149695704
0.469,0.541,1531905024.0,13471129600.0,11939224576.0,152.399,11.38999492314314
0.813,1.31,5990000128.0,18776999936.0,12786999808.0,77.829,2.6970698479208477
1.111,1.219,9354000384.0,14974999552.0,5620999168.0,55.055,4.345617816529576
0.65,0.746,99638886400.0,768516882432.0,668877996032.0,172.746,2.4611253149695704
,,,,,,
1.53,1.651,1546492032.0,4780585984.0,3234093952.0,135.497,2.047176961842421
0.711,0.859,548000000.0,14455000064.0,13907000064.0,159.989,3.2036790921985814
1.563,1.602,3565385984.0,20055508992.0,16490123008.0,80.668,7.76287959831357
,,51717001216.0,64172998656.0,12455997440.0,,
0.365,0.464,242400000.0,8858999808.0,8616599808.0,45.121,3.0037635724139404
0.899,1.255,16024000512.0,34867998720.0,18843998208.0,65.29,2.7435674083905153
0.958,1.736,3169999872.0,11477999616.0,8307999744.0,115.519,2.7906636991496416
