P/E (TTM),P/E (FWD),P/S (TTM),P/B,PEG R
20.89418,18.985579,2.6621625,1.4018459,16.81627900797166
60.366665,,1.6052961,0.354528,
23.713253,23.046839,6.755936,12.660492,31.920829639889195
17.0,11.027027,2.7195542,1.7732654,4.136169167291823
5.572139,7.671232,0.9989873,1.2829323,3.874359595959596
31.131884,,4.520712,5.053045,
30.55511,28.053358,6.0072184,19.972492,264.654320754717
16.87,10.244939,2.6987574,0.8798526,3.842812828207052
67.288826,32.751987,11.798486,3.5642118,103.64552848101266
114.575005,25.461113,13.27832,15.683122,-88.71467944250873
18.011429,,2.0797276,1.5258751,
18.017143,16.860964,2.078739,1.5263592,108.78041290322581
28.864035,,3.6031249,8.536775,
28.951756,26.51004,3.5843298,8.562719,420.7942857142857
19.721893,20.323172,0.057899926,0.07216379,139.1998082191781
57.843105,48.31418,4.9179173,20.74258,-3220.9453333333336
11.450637,,2.2040632,2.0061934,
12.705093,11.803238,1.993307,1.8052646,-55.67565094339623
25.165747,15.57265,3.412947,2.4317975,1197.8961538461538
28.706484,26.581049,9.470214,24.544638,56.91873447537473
13.090909,12.650468,5.6120715,-34.940628,-34.94604419889503
35.268517,23.585138,2.4295545,8.50983,-27.360948955916474
93.26257,91.72527,12.034483,3.092856,1239.5306756756756
12.309935,11.809402,1.933736,1.6017693,34.131219653179194
69.07275,40.22663,17.791697,9.359275,222.24657458563536
9.292683,,3.4950314,1.9320487,
9.258536,11.862499,3.487349,1.9249493,-741.4061875
12.597088,,0.03193237,0.0069143656,
92.10256,85.11849,5.486632,11.00288,23.364943727696954
13.362903,40.414635,0.031752482,0.004415069,1224.685909090909
32.87895,9.040522,18.837637,5.7144165,37.05131967213114
133.97813,137.74158,8.805352,11.730539,
23.385366,22.401867,1.621634,1.7833494,139.14203105590062
25.067265,15.908929,1.4532256,19.45109,-20.214649301143584
24.449614,21.902777,3.6698072,3.0601554,-79.64646181818182
25.373798,22.387062,4.0228977,6.583198,283.38053164556965
,96.96955,24.952389,29.88524,
,24.226803,1.9381853,1.0508429,
34.467308,26.591988,10.589943,3.6042793,77.07822608695653
28.228693,21.17528,8.924333,5.930911,
38.33766,23.80645,2.7437468,-13.06002,-50.33076109936576
29.215633,30.792614,11.283572,1.9100232,-90.56651176470588
13.750001,,0.0073095555,0.0096773915,
9.8566675,7.3925004,,0.08825549,
9.761146,8.98827,1.8533297,1.7101885,-40.306143497757844
19.449799,6.8890467,2.0664172,5.6524277,-30.215117105263154
26.458858,26.3568,15.312243,3.5437198,163.70683229813665
9.670382,,1.8327736,1.6942862,
39.27528,30.888071,9.572136,26.447666,-51.9127243697479
32.622128,34.918434,3.9336472,7.2609835,997.6695428571427
20.317513,19.58044,3.1293516,1.93479,188.27346153846153
22.256756,21.96,4.5082726,0.43818337,13.301029678982434
145.68181,10.919931,1.2258593,2.2561684,0.048195444354212275
22.12231,22.670797,4.4825106,4.378907,13.731554815263477
23.67321,-785.0697,207.04578,1.9977156,
41.265736,34.30814,21.883202,11.23786,135.60529644268775
93.937836,50.740147,18.60955,18.917435,-170.26894966442953
16.992853,16.466803,1.3011969,-21.726233,70.07150212765957
53.959393,145.61644,26.483362,11.696743,145.61644
33.35466,33.381027,4.528239,12.003808,188.59337288135595
27.029865,24.899796,4.718774,6.8150754,131.05155789473685
10.657953,,1.4415654,0.8797708,
34.06677,28.452293,3.861954,10.046819,437.7275846153846
43.396084,38.2485,12.505548,23.139847,607.1190476190476
13.561577,275.3,0.006637508,0.2421987,-7440.540540540541
36.02574,28.471048,3.9307926,20.537336,-199.09823776223777
19.896936,11.023149,0.23572724,1.1695839,-25.516548611111112
34.784172,,9.390265,40.63025,
136.2,9.03183,0.47784525,8.993661,
24.147846,22.745275,5.1377587,9.628806,54.54502398081535
34.669064,29.03012,9.2400055,40.495796,4838.3533333333335
141.5,8.707692,0.47545823,1.4949814,
28.296593,19.17957,0.23256426,-44.865276,-179.24831775700935
36.870968,2.2890522,5.097815,-71.04282,20.079405263157895
49.11591,46.177353,8.422248,18.588509,518.8466629213483
20.004696,13.598937,0.89411604,-28.868565,
391.91174,,3.7372298,-3.9116395,
22.053545,21.283323,2.111314,5.5307465,75.74136298932383
21.25789,19.684702,1.6936398,3.6054537,133.909537414966
4.428633,,3.3082821,0.58645505,
