Insider %,Inst %
0.0016500001,0.87613
0.0026800002,0.9753
0.35173,0.15074
0.055999998,0.26858
4.0000003e-05,0.09884
0.00075,0.82877
0.00446,0.91612
0.17634001,0.48470002
0.00154,0.95348
0.00257,0.85560995
0.00131,0.69833
0.0,0.00174
0.17542,0.58286
0.00555,0.49749002
0.0018600001,0.54302
0.03787,0.90296
0.0032,0.90419996
0.30815,0.64876
0.00736,0.72616994
0.00254,0.90898
0.00212,0.89342004
0.0,0.11689
0.00245,0.84038
0.1387,0.79063004
0.0,0.00018999999
0.07136,0.84123003
0.01071,0.88075995
0.00418,0.59328
4.0000003e-05,0.123909995
0.0025600002,0.91154
1.0000001e-05,0.04516
0.00274,0.38167
0.00039,0.90589994
0.0076200003,0.89
0.15106,0.6746
0.09214,0.70752996
,
0.0022,0.85826
0.00508,0.86431
0.0,0.03133
0.00104,0.33993
0.30507,0.41577
0.03557,0.36146998
0.0139999995,0.09666
,
0.00113,0.75835
0.436,0.24594
0.0,0.058969997
0.00213,0.88162005
0.00162,0.54011
0.03041,0.90445
0.00061,0.1908
5e-05,0.01535
0.01593,0.90205
0.0017499999,0.92726
,
0.045879997,0.87619
0.69621,0.27366
0.0176,0.45924
0.00392,0.98597
0.00925,0.91261
0.0,0.0124
0.01507,0.81922996
0.01952,0.65008
0.00433,0.89079005
0.00262,0.80100995
0.27648002,0.65359
0.00375,0.85608
0.89897,0.0962
0.0072000003,0.92066
0.0038100001,0.84326
0.0,0.15596
0.00275,0.98055
0.0,0.13269
0.0,0.070250005
8.0000005e-05,0.19186
0.0,0.00054000004
0.00126,0.85602
2.0000001e-05,0.060749996
0.0012899999,0.96834
6.0000002e-05,0.49315
0.00291,0.83956003
0.00035999998,0.69453
,
0.0011999999,0.82291
0.00177,0.87264997
0.49892,0.25176
0.0,0.14555
0.17859,0.64564
5e-05,0.083950005
0.08151,0.53264
0.00187,0.61902
0.00075,0.05574
0.00319,0.55137
0.00461,0.88668
0.00045000002,0.54202
0.22809,0.37058997
0.011410001,0.96847
0.0016,0.86129
0.00162,0.93414
0.0,0.020539999
0.00283,0.94892
0.00093000004,0.98677003
0.0046200003,0.78963995
0.0023,0.92974
0.00089,0.72306997
0.32902,0.25901
0.00029,0.53788
2.0000001e-05,0.24991
0.0,0.04537
0.0,0.23524
0.00124,0.75896
0.00675,0.90989
0.0025,0.79947
0.00075999997,0.55936
0.0,0.01698
0.049439996,0.78944
0.0,0.00356
0.01827,0.925
0.00401,0.94448996
0.0,0.24941
0.04078,0.72313005
0.50176,0.23115
0.0,0.26681998
0.00278,0.96797997
0.00135,0.80272
0.0,5e-05
0.0068300003,0.93087995
0.0007,0.64943004
0.00066,0.80625
0.00098,0.099530004
0.01935,0.90439004
0.020610001,1.0197899
0.0,0.069749996
0.28604,0.68886
0.73184997,0.21305999
0.0227,0.7544
0.00234,0.86501
0.0,0.04685
0.0,0.22331
0.00343,0.85740995
0.03796,0.99104
0.0,0.12071
0.00248,0.95186996
,
,
0.00884,0.93851995
0.19833,0.34341
0.00028,0.85310996
0.00075,0.63273996
0.69015,0.08853
0.041890003,0.83457
0.100360006,0.31816998
0.00664,0.86997
0.12749,0.68501
0.16868,0.72302
0.0011100001,0.94024
0.042,0.94037
0.02725,0.74737
0.0,0.061189998
0.12295,0.83435994
0.09011,0.51155
0.10541,0.59726
0.74575996,0.06682
,
0.00677,0.90527
0.00524,0.95165
0.00017000001,0.99385
0.0022200001,0.7949
0.00368,0.97073
0.3493,0.20617001
0.00122,0.98271006
0.0017,0.88101995
0.0056800004,0.92275
0.00875,0.96595
2.0000001e-05,0.552
0.08597,0.74507004
0.0,0.00089
0.060310002,0.86464995
0.0,0.01154
0.00101,0.79442
0.00583,0.81592005
0.00328,0.86908996
0.0,0.00067000004
