Rev,Gr P,EBITDA,Op P,Net Inc,ROA,ROE,EPS (TTM),EPS (FWD)
38591000576.0,29845000192.0,11205999616.0,7766052955.91424,6205000192.0,0.050869998,0.10312,6.38,11.13
65612001280.0,56738000896.0,,22384846476.697598,14140999680.0,0.01161,0.14128,8.83,7.93
43108999168.0,24277999616.0,11452999680.0,8504111834.781368,13927999488.0,0.06617,0.30931,7.97,5.16
56207998976.0,56207998976.0,,26168758083.25632,17841000448.0,0.0063899998,0.101339996,5.05,1.39
56207998976.0,56207998976.0,,26168758083.25632,17841000448.0,0.0063899998,0.101339996,1.01,1.24
33244999680.0,16106000384.0,12968999936.0,9396366709.5552,6713999872.0,0.06949,0.17312999,14.08,16.95
26059999232.0,14851999744.0,14170999808.0,12418892112.809614,8392999936.0,0.13257,,11.68,12.61
64040001536.0,36868001792.0,14183000064.0,11731487881.379839,5857999872.0,0.048130002,0.22665001,6.21,10.61
,,,,,,,,
54793998336.0,45359001600.0,,19580635305.3696,14707000320.0,0.0090499995,0.12739,45.4,41.56
63616000000.0,49245999104.0,28330000384.0,23838823680.0,16405999616.0,0.13007,0.35421002,6.49,9.4
2878287904768.0,993720991744.0,479991005184.0,249115818157.6704,165724995584.0,0.055560004,0.107,0.13,
63435001856.0,40754999296.0,,13322619089.797121,10017000448.0,0.03574,0.32808,14.25,15.12
272011001856.0,67791998976.0,48287997952.0,30021852914.79171,13601000448.0,0.047870003,0.07535,2.24,
272011001856.0,67791998976.0,48287997952.0,30021852914.79171,13601000448.0,0.047870003,0.07535,4.48,7.86
123984003072.0,73975996416.0,44610998272.0,28175365937.95203,12664000512.0,0.04167,0.11529,1.75,2.24
83598999552.0,16760999936.0,14067000320.0,9653176478.26944,6145999872.0,0.03695,0.10318,4.56,6.11
94535000064.0,35556999168.0,19491000320.0,14838213610.045439,11550999552.0,0.04524,0.1146,6.38,5.15
91747999744.0,50171998208.0,17027999744.0,16047642635.223042,7550000128.0,0.08514,0.39859,5.49,8.63
13505741824.0,13505741824.0,,7121577663.7952,2863803904.0,0.13328,0.2882,3.7,5.83
77618003968.0,77618003968.0,,25693887853.52704,19483000832.0,0.01059,0.114980005,4.832,
47331000320.0,16058999808.0,5230000128.0,5425079256.6784,12625999872.0,0.05781,0.67485,5.87,2.36
63139000320.0,19591999488.0,14007000064.0,11199596508.151604,9436999680.0,0.08555,0.52711,19.64,22.15
18183999488.0,14595000320.0,5330999808.0,2854342399.63136,3468000000.0,0.08565,0.17839001,12.24,22.23
2736060628992.0,2736060628992.0,,814579970463.4982,705753120768.0,0.01733,0.13925,3.01,2.98
77618003968.0,77618003968.0,,25693887853.52704,19483000832.0,0.01059,0.114980005,4.832,
58142998528.0,58142998528.0,,24382847862.70208,17789999104.0,0.00853,0.14345999,9.06,9.27
