Sh,Float,Short Int,Short Int PM
787329984.0,588177367.0,,
1079000064.0,1076572250.0,23413021.0,21015439.0
1256870016.0,1036210095.0,17962340.0,19774433.0
5992970240.0,5952180758.0,10006406.0,11149266.0
272224000.0,271791104.0,6800992.0,6195361.0
538361984.0,536994412.0,12519619.0,14747690.0
3114749952.0,1109273876.0,,
622852992.0,621781390.0,12403783.0,10677620.0
2059289984.0,2054926888.0,35752746.0,35172306.0
1481750016.0,1477469372.0,16270253.0,19047389.0
2451840000.0,2431351988.0,2732443.0,2960454.0
1115619968.0,1125732720.0,11452325.0,12794662.0
2451840000.0,2431351988.0,,
424200000.0,422974062.0,10408796.0,9936307.0
382307008.0,344604152.0,4906611.0,5740352.0
5685550080.0,5675885064.0,107778211.0,111909372.0
716051968.0,637128384.0,8448011.0,7904309.0
586209024.0,583904688.0,7027894.0,6064299.0
7441180160.0,8927407074.0,,
1240809984.0,1238163997.0,19990775.0,20991552.0
560438016.0,559777020.0,8082469.0,7225285.0
6139780096.0,,,
14855700480.0,14818883834.0,5427392.0,8829350.0
205778000.0,155765534.0,7035817.0,7419870.0
14855700480.0,14818883834.0,,
307636000.0,231975174.0,10552161.0,10411683.0
1059260032.0,133794060.0,16241218.0,18315628.0
2537649920.0,4822693494.0,16150153.0,17538039.0
2188930048.0,1844849232.0,4316540.0,5469605.0
2188930048.0,1844849232.0,,
634897024.0,602758098.0,7042727.0,7968167.0
5075290112.0,4822693494.0,,
639516992.0,626509524.0,8755858.0,7829092.0
3683399936.0,5808485867.0,,
389300000.0,388116528.0,5851767.0,7650600.0
593040000.0,591240813.0,9093475.0,6013993.0
1220920064.0,1213009542.0,13110070.0,15944056.0
270827008.0,270107167.0,4814838.0,5010070.0
121400000.0,,,
1119129984.0,1114928382.0,30787845.0,27965733.0
2184079872.0,1813582340.0,8023848.0,6800145.0
802497984.0,794927700.0,15328085.0,15435340.0
4558069760.0,4386286522.0,,
890948992.0,683740780.0,10150225.0,11071067.0
4558069760.0,4386286522.0,1963550.0,1543460.0
1722480000.0,1682723208.0,14344451.0,17781013.0
2184079872.0,1813582340.0,,
3169179904.0,3153647154.0,8602766.0,7362677.0
42000000.0,3195720916.0,13964.0,7208.0
1265619968.0,1260874921.0,28832070.0,30705854.0
1219480064.0,1096299469.0,,
3682759936.0,3653106035.0,45254498.0,52626838.0
576667008.0,563874768.0,,
405043008.0,403936929.0,5163320.0,4651222.0
2438960128.0,1096299469.0,3266430.0,4392782.0
496248000.0,490017132.0,8155882.0,8439936.0
667936000.0,662779634.0,34382799.0,26587163.0
1730599936.0,930336236.0,,
1730599936.0,930336236.0,5097144.0,5125988.0
1823170048.0,1558204122.0,,
1823170048.0,1558204122.0,2317061.0,1710132.0
3569619968.0,7108624528.0,21713975.0,22166768.0
50697400.0,47021308.0,683718.0,695998.0
371216000.0,1239820014.0,,
1248940032.0,1246431937.0,17369058.0,13754630.0
1281260032.0,1278919989.0,11596349.0,12059795.0
131961000.0,131612992.0,3244666.0,3598591.0
1679890048.0,1676497573.0,33268054.0,35013784.0
1188019968.0,1170505094.0,44451055.0,44807666.0
668825984.0,667916339.0,10244889.0,9796393.0
398689984.0,369514137.0,3033776.0,3148255.0
185044000.0,154267211.0,3983216.0,4935294.0
5756619776.0,5726400438.0,,
5756619776.0,5726400438.0,2358446.0,6001086.0
3847600128.0,3854245490.0,,
546492032.0,311979267.0,21987037.0,20394432.0
6412660224.0,3854245490.0,2600067.0,3531022.0
445247008.0,430380566.0,9609625.0,9569605.0
402360992.0,367332020.0,11469515.0,14334639.0
2180509952.0,2176742548.0,31046262.0,31852925.0
233464992.0,171940010.0,3166167.0,2728111.0
1100050048.0,1096681262.0,31173450.0,30215617.0
491624000.0,490709622.0,5978980.0,6881449.0
249248000.0,244639575.0,7082872.0,8163444.0
4376999936.0,4368946320.0,120279305.0,128334650.0
572422976.0,567941015.0,6349935.0,5983105.0
256391008.0,255577893.0,4362540.0,4389791.0
1136700032.0,1134574371.0,44801419.0,42481862.0
928062976.0,924796218.0,11194508.0,10675446.0
82738298880.0,50936765490.0,,
24013000704.0,,,
1253880064.0,1239820014.0,9346828.0,9031004.0
2035440000.0,2031649927.0,30920136.0,39446776.0
360376992.0,358776488.0,5421541.0,5235546.0
1253880064.0,1239820014.0,,
468251008.0,466907344.0,5455005.0,6472858.0
312406016.0,311618317.0,6378772.0,6590161.0
777624000.0,775532657.0,12169366.0,12079575.0
5341819904.0,527517674.0,,
1495779968.0,1288564881.0,14258584.0,15194823.0
534182016.0,527517674.0,,
263912992.0,263278911.0,22335770.0,23553948.0
1613110016.0,338144088.0,17975332.0,17356043.0
272489984.0,271446363.0,3757445.0,3370996.0
233994000.0,161516353.0,4061766.0,3736998.0
773964032.0,765202576.0,29290191.0,31359055.0
222515008.0,221912342.0,3252306.0,3670222.0
127778000.0,126768792.0,1528588.0,2012686.0
1724390016.0,2176742548.0,,
402830016.0,401605711.0,3899314.0,3757086.0
179359008.0,165779399.0,1636047.0,2142836.0
3309530112.0,50936765490.0,438832.0,888702.0
249332992.0,229916556.0,3300493.0,4970565.0
1268329984.0,1265700939.0,15649376.0,16022739.0
1828060032.0,1817035692.0,,
2578589952.0,14970611498.0,13254202.0,11942744.0
271628000.0,257220529.0,10744627.0,13738664.0
1828060032.0,1817035692.0,994253.0,1091164.0
15471500288.0,14970611498.0,,
124384000.0,124190353.0,1876965.0,2131217.0
848497024.0,840435962.0,11602546.0,16762964.0
402977984.0,342237063.0,5495359.0,5025668.0
340672992.0,309473898.0,12155341.0,17409997.0
3221329920.0,650066645.0,68.0,68.0
143183008.0,134433070.0,2375991.0,2596846.0
268992992.0,251745725.0,2030163.0,2154987.0
1616089984.0,1551583132.0,17716.0,137012.0
3418390016.0,3402867424.0,,
