Gr M,EBITDA M,Op M,Net Inc M
0.44134998,0.19785999,0.18847,0.092939995
0.89248,0.39308,0.35909998,0.30392
0.64950997,0.2682,0.21952999,0.12251
0.73819,0.38391,0.28684,0.16844
0.59718,0.31320998,0.20115,0.14213
0.1688,0.16636999,0.18417999,0.12663999
0.46749002,0.42713,0.52776,0.37507
0.78533,0.47816002,0.39156,0.21865
0.33464,0.14991,0.14479,0.08202
,,,
0.0,0.0,0.41689998,0.26612
0.31728,0.115930006,0.096829996,0.048520003
0.0,0.0,0.41689998,0.26612
0.78610003,0.57018,0.76082003,0.42345002
0.97137,0.22854,0.108260006,0.16961999
0.82212996,0.46941003,0.40075,0.17593999
0.34917998,0.18952,0.09515,0.06834
0.34917998,0.18952,0.09515,0.06834
0.38077,0.24904,0.21426001,0.14296
0.82212996,0.46941003,0.40075,0.17593999
0.0,0.0,-5.32768,0.0
0.19023001,0.14169,0.04946,0.05452
0.38162,0.22621,0.18569,0.15103
0.55889,0.50695,0.41257998,0.2843
0.35237,0.27724,0.25621998,0.16896999
0.27442,0.19323999,0.14437,0.11767
,,,
0.37133998,0.46417,0.2332,0.1841
0.82861,0.47922,0.42042,0.12064
0.48501998,0.31643,0.30581,0.23877001
0.28911,0.14409,0.093439996,0.06435
0.59585,0.0,0.24757999,0.09571999
0.28911,0.14409,0.093439996,0.06435
0.0,0.0,0.57404,0.27929002
0.82861,0.47922,0.42042,0.12064
0.0,0.0,0.26907,0.13363
0.0,0.0,0.33103,0.26516
0.48705003,0.34104002,0.33668,0.29065
0.71321,0.26416,0.17997,0.19952999
0.70822996,0.30776,0.19770001,0.18444
0.63283,0.27683002,0.19388,0.12504
0.48391,0.29304,0.23685,0.19841999
0.71321,0.26416,0.17997,0.19952999
0.60151,0.44737998,0.28551,0.18847999
0.73414004,0.17232001,0.19603,0.122959994
0.55695,0.31174,0.2638,0.12158
0.55695,0.31174,0.2638,0.12158
0.38217998,0.20007999,0.17854,0.1247
0.38217998,0.20007999,0.17854,0.1247
0.0,0.0,0.39253,0.2574
0.51544,0.15127,0.12149999,0.085200004
0.27719,0.33889,0.25051,0.19118
0.48231998,0.4234,0.19729,0.15467
0.65374,0.27389,0.18594,0.13626
0.6091,0.4449,0.42578998,0.33411998
0.71731,0.62061,0.62571,0.43373
0.42735,0.09668,0.02893,0.069510005
0.39641997,0.37398997,0.18656999,0.121759996
0.27501,0.19865999,0.22318001,0.16
0.81412005,0.23659,0.23464,0.3477
0.0,0.0,0.56736,0.33486
0.0,0.0,0.56736,0.33486
0.0,0.0,0.35586,0.15399
0.44958,0.093669996,0.09273,0.061669998
0.0,0.0,0.35586,0.15399
0.90988,0.0,0.7468,0.14866
0.51037997,0.07011,0.05633,0.06566
0.40963,0.26194,0.18090001,0.10281
0.08254,0.10012999,0.038829997,0.058520004
0.48736,0.47118,0.28079998,0.15100999
0.44215,0.29381,0.26914,0.15997
0.74477,-0.0030899998,-0.10699,-0.04166
0.32921,0.17337,-0.03803,-0.38636002
1.0,0.6217,0.51396,0.30997
0.55906,0.42048,0.38931,0.31856
0.23739,0.15199,0.0951,0.07175
0.76328003,0.71088,0.42019,0.38685
0.27514,0.25498,0.13064,0.0718
0.0,0.0,0.0,0.0
0.27719,0.33889,0.25051,0.19118
0.73917997,0.40068,0.33661997,0.10584
1.0,0.70685995,0.66874003,0.58587
0.27719,0.33889,0.25051,0.19118
0.74371004,0.64579004,0.45655,0.12601
0.21773,0.25604,0.15391,0.12123
0.51926,0.49838,0.24227,0.15719
0.66910005,0.24183,0.20173,0.12856
0.31822002,0.39493,0.24879,0.01074
0.66910005,0.24183,0.20173,0.12856
0.70098996,14.44032,122.56298,10.366131
0.70926005,0.61779,0.53761,0.55918
0.85570997,0.3511,0.29354,0.19884
0.40890998,0.19944,0.15946999,0.08213
0.91504997,0.0,0.44388,0.50126
0.36256,0.19629999,0.20187001,0.13764
0.36851,0.25023,0.21343,0.17788
0.40963,0.26194,0.18090001,0.10281
0.39716,0.29299,0.1846,0.11361
0.7278,0.46325,0.44679,0.29178
0.27514,0.25498,0.13064,0.0718
0.48865002,0.18671,0.17459999,0.11026
0.13305001,0.03636,0.02803,0.01179
0.65481,0.32442,0.30858,0.20191
0.25728,0.14797,0.09129,0.0030500002
0.50035,0.36016,0.29374,0.20966999
0.65481,0.32442,0.30858,0.20191
0.25728,0.14797,0.09129,0.0030500002
0.03451,0.01485,0.012920001,0.00838
0.51397,0.22065,0.20209,0.14155
0.50039,0.26274002,0.22396,0.17527
0.22225,0.102419995,0.05539,0.04716
1.0,0.0,0.57958,0.50098
0.19328,0.15898,0.12859,0.09741
0.15402001,0.120799996,0.1016,0.08128
0.0,0.0,0.37334,0.26999
0.0,0.0,0.54227,0.33101
0.51203996,0.33446,0.30743,0.22912
0.0,0.0,0.38759997,0.22787
0.63168,0.33368,0.32487,0.31189
0.25946,0.10745,0.09754,0.09783
0.4111,0.23555,0.17781,0.16011
0.63168,0.33368,0.32487,0.31189
0.82781,0.0,0.35735,0.28401
0.32548,0.1596,0.13413,0.098129995
0.0,0.0,0.38059,0.26993
0.46574003,0.3171,0.23080999,0.15538
0.71686,0.29373,0.30516002,0.108219996
0.0,0.0,0.38759997,0.22787
0.098579995,0.04354,0.03674,0.01915
0.44013,0.23679,0.14715,0.13585
,,,
0.26747,-0.21249,-0.29839,-0.23672001
0.38535,0.28204,0.2409,0.22342
0.71686,0.29373,0.30516002,0.108219996
0.59755003,0.50874,0.46804002,0.22517
0.43729,0.28369,0.17899,0.14207
0.86474997,0.0,0.34117,0.22489999
0.8323,0.22919,0.19767,0.22668
0.84535,0.30122,0.14428,0.42666
0.5151,0.29667,0.26727,0.19075
0.55694,0.53138,0.45458,0.30495
0.41414002,0.0,0.15245,0.13408
0.0,0.0,0.37432998,0.29228002
0.59196,0.5689,0.52012,0.30366
0.61136,0.44761002,0.30801,0.16004999
0.43743,0.28721002,0.26598,0.21311001
0.55694,0.53138,0.45458,0.30495
0.50039,0.42257,0.22575001,0.1113
0.82781,0.0,0.35735,0.28401
0.49096,0.39606,0.22973,0.15689999
0.49096,0.39606,0.22973,0.15689999
0.0,0.0,0.37334,0.26999
0.35992,0.19457,0.18822001,0.090900004
0.0,0.0,0.53084,0.24462
0.43383,0.31419,0.20542999,0.12972
0.0,0.0,0.53084,0.24462
0.52705,0.2752,0.2025,0.14920999
0.2155,0.12771,0.09019,0.06345
,,,
0.0,0.0,0.37334,0.26999
0.0,0.0,0.36908,0.25842
0.0,0.0,0.56536,0.39773
0.29834998,0.23008,0.20886,0.16427
0.8169,0.64809,0.68653,0.3637
0.0,0.0,0.39327,0.27352
0.0,0.0,0.37355998,0.20547001
1.0,0.36968,0.34855998,0.15791
1.0,0.36968,0.34855998,0.15791
0.0,0.0,0.39327,0.27352
0.6016,0.53041,0.34425998,0.21375999
0.0,0.0,0.33595002,0.22761999
0.42039,0.29656,0.18313,0.113970004
0.32535,0.27419,0.25037,0.18094
0.60621,0.24122,0.20861,0.14541
0.26835,0.05013,0.0529,0.02832
0.12698,0.12245,0.092259996,0.07214
0.52948004,0.22760001,0.19402,0.13563
0.71465,0.42046002,0.40203,0.27832
0.12698,0.12245,0.092259996,0.07214
0.36360002,0.17345,0.13665,0.09533
0.6803,0.63176,0.58576,0.30628002
0.13171,0.17327999,0.15084,0.10717
0.0,0.0,0.40486,0.30738002
0.0,0.0,0.26951,0.3179
0.0,0.0,0.43782002,0.2561
0.86474997,0.0,0.34117,0.22489999
0.52511,0.52511,0.39713,0.28035
0.7614,-0.03092,-0.13129,-0.062230002
0.46881,0.46881,0.36094,0.21915
0.0,0.0,0.43782002,0.2561
0.86474997,0.0,0.34117,0.22489999
0.0,0.0,0.54135,0.39321998
0.86474997,0.0,0.34117,0.22489999
0.82174003,0.74108005,0.49664003,0.35057998
0.31871,0.36235002,0.24295999,0.12859
0.86474997,0.0,0.34117,0.22489999
0.66580003,-0.33875,-0.32700002,-0.36428002
0.13582,0.10804,0.07699,0.04201
0.13582,0.10804,0.07699,0.04201
0.61716,0.51794,0.32806,0.25143
0.41682,0.2024,0.19293,0.1449
0.13582,0.10804,0.07699,0.04201
0.39988,0.36060002,0.13718,0.12903
0.60435003,0.3099,0.27333,0.116280004
0.49729002,0.49729002,0.37267,0.27509
0.60435003,0.3099,0.27333,0.116280004
0.47351003,0.31425,0.29641,0.31367
0.77087,0.53387,0.58446,0.32919
0.39051,0.35322,0.26502,0.07718
0.55184,0.29801,0.29912,0.20542999
0.39051,0.35322,0.26502,0.07718
0.49633998,0.46497002,0.23672001,0.21899
0.26832,0.15858,0.16341999,0.10966
0.0,0.0,0.48452,0.35314
0.51926,0.49838,0.24227,0.15719
0.48675,0.26875,0.13628,-0.0756
0.83642,-0.050240003,-0.02094,-0.12961
0.45641997,0.20772,0.28284,0.08302
0.91996,0.2346,0.21004,0.15945
,,,
,,,
0.75655,0.1112,0.091520004,0.055999998
0.17253,0.09291001,0.03092,0.04887
0.48759997,0.4148,0.28184,0.1766
0.0,0.0,0.48452,0.35314
0.0,0.0,0.33748,0.25034
0.60578,0.0363,0.00025,0.13644
0.19867,0.18266001,0.12015,0.05885
0.39167,0.3725,0.32076,0.07452
0.49997002,0.42088002,0.28500998,0.17058
0.81289,0.32913,0.28018,0.30603
0.34992,0.24063998,0.19652,0.087749995
0.03401,0.0144299995,0.012200001,0.00599
0.5541,0.5142,0.41292,0.26623
0.60393,0.33714,0.20249,0.05559
0.38009998,0.24499,0.19549999,0.099429995
0.27878,0.14826,0.115880005,0.059899997
0.41389,0.21659,0.2101,0.15317
0.60393,0.33714,0.20249,0.05559
,,,
0.40165,0.2017,0.18428,0.13317999
0.39514,0.28649,0.25615,0.16108999
0.54517,0.45441002,0.15001,0.24323
0.0,0.0,0.37097,0.28729
0.68867993,0.39492,0.28211,0.20616
0.20482,0.14604001,0.0728,0.028350001
0.557,0.3393,0.25768998,0.17719999
0.45064998,0.22399999,0.20963,0.15295
0.47157001,0.27677,0.17807,0.07411
0.15037,0.08785,0.05404,0.0373
0.40992,0.29781,0.11447,0.04782
0.35408002,0.2242,0.1494,0.05765
0.40992,0.29781,0.11447,0.04782
0.26915002,0.14887,0.14412,0.17812
0.67872,0.61705,0.43376,0.30408
0.9265,0.89739,0.43083,0.16721001
0.24591999,0.1121,0.11590999,0.087919995
0.25958002,0.1546,0.13016,0.08722
0.59664,0.38339,0.46991003,0.25143
0.67043,0.48654,0.44432998,0.45465
0.60597,0.35372,0.29233998,0.18591999
0.109689996,0.0887,0.04701,0.02545
0.67872,0.61705,0.43376,0.30408
0.20482,0.14604001,0.0728,0.028350001
0.59664,0.38339,0.46991003,0.25143
0.27264,0.12521,0.0764,0.04654
0.41752,0.40964,0.18433,0.20351
0.46991003,0.44797,0.55329,0.21112
0.25726,0.09927,0.05606,0.058720004
1.0,0.97105,0.97518,0.97901
0.4936,0.52604,0.32493,0.16962999
0.46938,0.14766,0.097440004,0.02458
0.25738,0.18667999,0.12827,0.0794
0.2987,0.03964,0.02217,0.01131
0.56208,0.51341,0.3964,0.37523997
0.15719,0.13843,0.11505,0.098809995
0.50795,0.31347,0.25913,0.19364999
0.97193,0.0,0.47906,0.33676997
0.31822002,0.39493,0.24879,0.01074
0.6154,0.34495997,0.33624,0.24410999
0.20063,0.22434,0.15738,0.11534
-0.01666,-0.01564,-0.06604,0.32536998
0.72709,0.70467,0.47577998,0.38064
0.09988,0.0287,0.0442,0.012920001
0.08796,0.05756,0.058229998,0.01595
0.72353,0.45566002,0.38723,0.29745
0.44759998,0.35451,0.23221001,0.02466
0.45654,0.20784001,0.28284,0.08156
0.64976,0.27209,0.16885,0.03056
-0.01666,-0.01564,-0.06604,0.32536998
0.64976,0.27209,0.16885,0.03056
0.35294998,0.20569,0.16929,0.089320004
0.2358,0.15115,0.14564,0.114630006
0.42028,0.27029,0.19369,0.06972
0.54934,0.26493,0.21570998,0.09747
0.78873,0.3062,0.28123,0.72956
0.56463003,0.0,0.36303002,0.17739001
0.32784,0.1437,0.12166,0.097950004
0.45641997,0.20772,0.28284,0.08302
0.39248002,0.16875,0.14887999,0.10995
0.57921004,0.30961,0.1065,0.11383
0.19468,0.06285,0.0364,0.02861
0.23811,0.05431,0.03232,0.01758
0.25726,0.09927,0.05606,0.058720004
0.024920002,0.03782,0.00686,-0.00889
0.33682,0.2448,0.18423,0.110649996
0.75499,0.28393,0.30793,0.27341
0.4653,0.4147,0.37265,0.32209
0.20988001,0.06571,0.04572,0.0295
0.30459,0.09722,0.08831,0.053189997
0.33235002,0.3118,0.22721,0.11677
0.0983,0.03164,-0.0030399999,0.030550001
0.39644,0.06655,0.08179,0.124110006
0.20988001,0.06571,0.04572,0.0295
0.71882004,0.24117,0.17729001,0.2086
0.39644,0.06655,0.08179,0.124110006
0.07221,0.04616,0.010720001,0.01701
0.80380994,0.58119,0.49527,0.33429
0.4182,0.3245,0.17284,0.111669995
0.79941005,0.00987,-0.042940002,0.04131
0.82174003,0.74108005,0.49664003,0.35057998
0.71475,0.60807,0.47924998,-0.71707
0.36053002,0.27839002,0.05118,0.028010001
0.36053002,0.27839002,0.05118,0.028010001
0.74464,0.53121,0.03975,-0.28826
0.58937,0.28748,0.26028,0.23208
0.36003,0.19409001,0.16214001,0.12324
0.27833998,0.08212,0.05224,0.03718
0.63563,0.23832001,0.22208,0.13813
0.63563,0.23832001,0.22208,0.13813
0.82181,0.57839,0.54545,0.39464
0.63941,0.48667,0.14874,0.09002
0.25726,0.09927,0.05606,0.058720004
0.44002998,0.51143,0.43683997,0.19994
