EV/Rev,EV/FCF,EV/EBITDA
0.956,16.401294388984134,5.044
0.957,16.41291241465219,5.047
4.134,36.156403484517455,16.598
2.988,15.560477286329457,6.365
5.787,,
0.034,-2.0678753989600254,0.237
5.613,63.19698706896456,24.813
6.835,33.39960034969658,13.482
7.311,76.54922455528745,26.369
4.367,56.2726682687254,22.598
,,
4.039,111.95791600093722,8.702
6.259,17.280471227210526,13.061
4.463,37.33335568721727,14.104
0.008,,0.055
8.529,,
0.008,,0.055
-0.259,,
6.172,17.0414467739265,12.88
3.338,,
0.972,,
6.718,28.005378354554153,19.699
2.872,14.951428628380835,10.871
1.734,60.23256899917712,5.635
4.95,68.44569865621521,17.881
6.156,35.999308016120665,21.007
1.502,7.82023760717496,5.686
12.1,37.45942873771708,27.047
13.11,,76.079
3.457,19.903831446613623,11.089
3.459,19.913437139102708,11.095
3.735,38.68134922430333,18.668
3.782,39.166811361887206,18.902
0.281,,
5.123,-32.30327815978218,33.87
2.51,30.840256240933837,7.405
2.302,18.837465527420587,5.437
4.103,,14.982
9.667,42.68468783452146,21.728
6.763,19.4464595005124,10.897
2.472,30.778175604322072,25.575
13.426,60.27224924911645,35.898
2.286,10.253738626105434,11.509
14.426,46.292241741231514,60.976
4.044,,
4.015,,
-12.988,,
5.204,109.64442424197304,55.562
-12.998,,
-8.347,,
8.61,-132.02145614909017,122.801
3.325,107.11561349878853,12.693
1.733,32.57002149552562,17.302
6.252,-161.67358440513522,13.268
4.806,28.5433228524702,16.356
24.344,76.81897739251086,-7870.612
2.647,-16.88017115760102,15.265
12.647,30.819381466002266,20.343
8.43,33.024769759199046,20.047
3.411,75.69557291928754,22.444
15.83,28.018987226610335,22.269
0.92,24.585354255885665,3.609
,,
2.168,26.647168441186153,6.399
2.844,8.383626706722012,7.098
15.645,34.43811454062177,22.133
2.172,26.688022341859824,6.408
14.426,33.18400952541559,22.338
4.225,29.820106830898837,16.5
6.063,-115.86443645665085,12.165
0.294,2.01577334733594,1.216
5.816,-65.56329917861757,14.727
4.459,30.561912544600922,18.44
235.128,25.95836495385818,16.283
22.777,39.31817809251407,36.868
18.393,61.80876719895916,52.387
1.987,25.823999217996406,9.963
24.492,,
4.758,41.94384940886558,24.236
5.206,34.69422192272518,20.804
2.5,80.5517406528502,9.545
4.854,80.14758308030453,16.566
13.36,46.836383234920056,28.839
1.083,28.92631388292767,4.246
4.528,58.65740235612546,24.251
0.413,27.19833075309519,11.347
9.836,48.49991166022185,30.32
3.194,63.382541554023554,21.586
6.319,44.39991622103704,17.546
10.125,49.92092315564648,31.209
0.805,15.973785249408806,5.44
0.254,18.172333021241457,17.133
5.628,74.45589255913646,25.505
8.678,57.63533225363584,33.027
1.129,57.62977171105126,11.02
146.084,,
2.494,40.834089033210134,15.69
1.877,27.03071736023366,15.539
2.347,,
16.651,,
12.241,149.48924041888557,36.598
-14.553,,
2.601,9.419779308137999,7.795
0.053,1.8278293019746916,0.49
3.742,-27.53000366036947,15.885
-0.439,-1.5909332659992268,-1.317
-4.182,,
2.743,28.87862112130814,17.189
-2.943,,
5.84,31.238617420178798,18.419
5.547,32.03090239952893,18.885
-14.57,,
0.409,23.97880095205497,9.392
5.55,40.99119122384649,23.439
,,
20.205,92.78758928504243,-95.085
11.011,59.10490475072355,39.042
2.93,16.91784343827329,9.975
11.805,62.05184225506477,23.204
6.64,77.87897352028344,23.406
-0.574,,
5.823,19.931563126828745,25.407
11.239,193.94679725783578,37.31
7.404,40.41065499096726,24.957
3.737,8.39416447135007,7.033
3.99,,
6.309,,
6.696,23.68267422565424,11.771
4.989,24.085126747952938,11.147
5.353,36.325238584952615,18.639
3.257,7.315343712548085,6.129
10.546,41.897167715302494,24.956
-4.186,,
0.941,5.206634253803618,2.376
0.965,5.338229240015268,2.436
2.551,,
2.49,43.73665393753272,12.8
3.743,,
5.304,46.403119427346,16.883
3.604,,
4.856,27.210114289241464,17.644
1.067,23.83195747678339,8.352
,,
3.922,,
-2.921,,
7.691,,
3.456,20.249369624312237,15.022
12.885,58.19544653645943,19.882
12.593,,
-1.241,,
6.092,-16.201667651854372,16.479
21.497,-57.17080309666551,58.149
4.135,,
8.796,172.06244570949073,16.583
-2.314,,
0.783,,2.641
9.358,102.75774617324369,34.129
3.863,28.292989737683282,16.012
0.345,5.422333620185923,6.886
10.538,173.41049556941707,86.059
4.331,53.84920265408717,19.031
7.974,32.7341465315457,18.966
2.829,46.553966927813306,23.104
3.482,29.40822250431351,20.077
6.915,22.753356867543665,10.946
1.853,47.91070729875359,10.691
2.554,,
5.034,,
14.115,,
-0.498,,
6.074,39.214263785277865,11.568
35.52,182.71848548227,-1148.68
6.107,55.66602433137512,13.027
2.223,,
-0.518,,
9.435,,
-0.493,,
13.625,40.17096121343548,18.386
6.911,-17.709217207612795,19.074
-0.487,,
16.613,55.089750182730036,-49.042
1.147,41.31738813554102,10.62
1.094,39.40368778171755,10.128
2.807,17.72466892096959,5.42
2.081,66.52428750149824,10.282
0.84,30.255938253509196,7.777
4.617,49.23825064537522,12.803
4.367,52.334543836579485,14.091
6.629,55.49423605131105,13.329
13.839,165.8576932525267,44.657
3.976,19.82341567943888,12.652
15.505,36.43709469912366,29.042
0.7,11.92637563868383,1.982
7.947,42.32033928052053,26.666
0.712,12.12359877954809,2.014
2.112,12.08399116793014,4.542
1.349,4.120143756642129,8.508
0.646,,
3.554,-67.91464536438,7.13
10.002,67.00615378609514,37.219
24.353,699.5054490444992,-484.748
,,
9.811,27.99632110437767,41.821
,,
,,
6.458,23.65995909823724,58.079
1.051,16.24467150133081,11.307
5.229,-26.54427835454152,12.605
-3.493,,
-0.438,,
24.901,226.88552101510288,686.057
1.679,37.66219875223833,9.19
2.938,34.88054823641165,7.887
5.829,318.0712721078861,13.848
9.077,30.219369780277894,27.578
3.925,43.52899937880244,16.311
0.212,52.01268073348001,14.67
4.624,34.53837618868101,8.993
2.04,16.479302036493785,6.051
11.836,38.496901056300494,48.311
1.484,24.041719433366662,10.011
3.98,15.662973626918417,18.378
0.855,6.90783584185046,2.536
,,
5.268,54.04899213972214,26.116
4.568,31.1454960018169,15.943
13.289,38.957435945361304,29.245
4.162,,
8.943,31.6420106300139,22.644
0.912,18.316158664356823,6.243
5.474,47.128657154367254,16.132
7.353,86.99691011635426,32.823
3.539,22.461196838900012,12.786
2.327,63.85429703838602,26.483
4.037,63.92466550694579,13.554
4.419,57.54515086663348,19.709
4.048,64.10075473260706,13.591
2.995,29.122548677398886,20.12
5.835,-40.93286694698648,9.457
15.162,33.982589897111836,16.895
0.842,20.008261480090866,7.508
1.818,50.02488286511934,11.76
