Rev/Sh,FCF/Sh,Cash/Sh,BV/Sh
171.017,,3402.823,376.888
76.52,32.72840441467818,4.023,30.974
76.52,23.951827595992604,4.023,30.974
16.39,,39.846,35.024
53.617,3.0800281430456873,4.276,33.191
6.314,,78.723,17.359
52.228,5.992165833909858,0.391,38.622
6.314,,78.723,17.359
31.406,5.637437953091684,3.943,35.306
106.063,5.492036291444535,7.416,18.573
,,,-26.265
16.39,,39.846,35.024
26.558,,298.029,54.76
2.132,,1.738,5.294
2.354,0.8030990471429883,0.998,2.67
24.408,5.532623951115765,2.472,-10.893
7.128,,49.335,4.408
15.259,,304.155,40.983
3.904,-1.392850206328196,1.414,7.719
3.252032,-6.964250672284886,1.414,7.719
1.782,,49.335,4.408
9.311,0.47566697192769036,0.739,10.158
23.539,,342.555,68.177
1490.23,,249.816,1295.546
19.041,1.7441816307881255,1.352,12.344
24.566,3.3779437592237147,1.747,0.869
828.608,53.50433878975743,154.509,194.462
36.488,2.276448761213878,0.718,3.614
1122.093,90.88117068271892,17.193,-237.647
20.902,5.158704062949995,3.281,11.211
9.122,0.5691117920305483,0.718,3.614
35.433,4.2347011168764155,1.117,24.191
19.255,5.846471962241757,3.124,44.875
25.268,0.977831659653195,0.402,13.422
27.007,,315.415,63.87
12.703,,38.508,19.339
1.16,,2.764,0.673
41.448,,352.684,61.587
16.024,2.5170865294953244,0.87,50.337
5.455,1.1690040655603569,11.363,3.558
7.44,0.8330293103429336,0.211,6.636
0.29,,2.764,0.673
41.448,,352.684,61.587
1.215,,2.923,1.981
41.448,,352.684,61.587
18.493,6.26912600013173,3.772,7.384
54.156,-21.144980687833066,10.474,69.815
41.448,,352.684,61.587
11.549,3.4703347485309988,11.719,7.217
221.67,6.7767618975265025,25.113,149.056
221.67,69.86005292916485,25.113,149.056
41.189,6.613637730287191,9.553,53.55
32.585,1.0574348592064688,10.475,21.043
73.81611,2.256658834021766,25.113,149.056
54.342,5.12181977451154,1.426,6.921
9.111,0.7601222022859997,1.191,4.99
53.909,6.483615286556067,5.801,65.833
2.022642,3.04049441308605,1.191,4.99
133.029,27.368363559566095,72.04,287.55
19.946,8.733215983400937,1.577,-19.467
19.65,2.4732232731773918,9.077,15.988
7.861,1.4729293802167285,2.122,7.365
39.3,2.4732232731773918,9.077,15.988
18.048,3.191807557302853,0.049,19.754
210.926,69.57800591647641,23.404,131.133
